;RESÍDUOS RECUPERADOS EM TONELADAS POR MÊS EM 2024 (TONELADAS);;;;;;;;;;;;;;;;;;;
;Mês;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;Total Geral;
;Janeiro;;38,33;;;226,88;;;1.501,55;;;1.471,06;;;439,32;;;;3.677,14;
;Fevereiro;;34,65;;;255,47;;;1.468,52;;;1.499,69;;;452,65;;;;3.710,98;
;Março;;35,57;;;338,83;;;1.370,92;;;1.318,67;;;314,31;;;;3.378,30;
;Abril;;39,44;;;289,59;;;1.563,46;;;1.325,67;;;378,14;;;;3.596,31;
;Maio;;38,76;;;236,28;;;1.474,53;;;1.352,57;;;414,12;;;;3.516,26;
;Junho;;46,63;;;249,05;;;1.377,67;;;1.380,03;;;335,74;;;;3.389,13;
;Julho;;41,71;;;319,06;;;1.437,39;;;1.342,06;;;363,67;;;;3.503,89;
;Agosto;;41,52;;;192,66;;;1.322,89;;;1.175,07;;;458,15;;;;3.190,28;
;Setembro;;34,15;;;221,22;;;1.442,50;;;1.284,87;;;401,10;;;;3.383,84;
;Outubro;;49,46;;;231,33;;;1.513,88;;;1.257,82;;;376,72;;;;3.429,21;
;Novembro;;43,75;;;175,06;;;1.250,59;;;1.116,76;;;424,75;;;;3.010,92;
;Dezembro;;40,09;;;212,04;;;1.472,83;;;1.380,56;;;337,63;;;;3.443,15;
;TOTAL;;;484,08;;;2.947,46;;;17.196,74;;;15.904,84;;;4.696,29;;;41.229,41;
