Workshop;Workshop sobre a Lei de Acesso à Informação e o Sistema Eletrônico de Informações (SEI);;2
;4º Workshop de Integração – Protegeer/RJ;;3
Oficinas;Midia Training;;19
;Termo de Ajuste de Gestão;;39
;Aspectos Técnicos, Econômicos e Ambientais no Tratamento do Chorume;;71
;Capacitação em Gestão de Risco e Integridade;;15
;Diálogos com o Controle-Espaço Aberto-Transparência Pública: você faz parte.;;19
;Ações de Promoção à Saúde Parceria UNB/SLU: O Papel da Universidade Para a Saúde dos Servidores;;38
;Psicologia do Trabalho- Saúde Mental;;34
;Ginástica Laboral;;35
;Práticas Integrativas;;22
Subtotal I;;;365
Curso externo;Curso de Ambientação dos Novos Servidores;;39
;Capacitação p/Auditores de Atividades Urbanas;;2
;Elo Consultoria Empresarial e Produção de Eventos Ltda;;4
;Treinamento Imersão Inteligência Emocional Método Evo;;10
Subtotal II;;;55
