Controle de clipping - 2018;;;;;;;;;
Mídia Impressa e Eletrônica;Janeiro;;;Fevereiro;;;Março;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;45;110;31;13;43;34;24;39;6
;Abril;;;Maio;;;Junho;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;3;31;10;8;27;13;14;45;29
;Julho;;;Agosto;;;Setembro;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;12;18;29;16;17;24;8;12;20
;Outubro;;;Novembro;;;Dezembro;;
;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras;Negativas;Positivas;Neutras
;13;33;15;4;10;10;4;24;18
Total;812;;;;;;;;
