Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
1;22/2010;AR (CONDOMÍNIO);17/09/2010;ALUGUEL DA SEDE - 6º ANDAR;17/09/2020;MENSAL: R $ 133.881,64 ANUAL: R$ 1.606.579,68;LUCRÉCIA DE CARVALHO SILVA/ FRANCISCO ANTÔNIO OTAVIANO;VIGENTE
2;01/2014;AUTO POSTO MILLENNIUM;16/01/2014;ABASTECIMENTO DE VEÍCULOS;15/01/2020;MENSAL: R$ 46.488,00 ANUAL: R$ 557.856,00;LUCRÉCIA DE CARVALHO SILVA/ ADALCI AZEVEDO VALENTIM;VIGENTE
3;02/2015;CEB;27/01/2018;FORNECIMENTO DE ENERGIA ELÉTRICA;27/01/2020;ANUAL: R$ 250.000,00;FRANCISCO ANTÔNIO OTAVIANO/ LUCRÉCIA DE CARVALHO SILVA;VIGENTE
4;03/2015;CAESB;27/01/2015;ABASTECIMENTO DE ÁGUA POTÁVEL;27/01/2020;ANUAL: R$ 187.500,00;FRANCISCO ANTÔNIO OTAVIANO/ LUCRÉCIA DE CARVALHO SILVA;VIGENTE
5;10/2015;GESTEMAQ;14/10/2015;MANUTENÇÃO DE 25 APARELHOS DE AR CONDICIONADO;15/10/2020;MENSAL: R$ 4.249,01 ANUAL: R$ 50.988,12;FRANCISCO ANTÔNIO OTAVIANO/ LUCRÉCIA DE CARVALHO SILVA;VIGENTE
6;03/2016;CASA CIVIL - DODF;01/03/2016;PUBLICAÇÃO NO DIÁRIO OFICIAL;01/03/2020;MENSAL: R$ 17.000,00 ANUAL: R$ 204.000,00;AVELANGE PEREIRA DURÃES/ ALINE MARIA DE LIMA RIBEIRO;VIGENTE
7;16/2016;APIS;20/09/2016;SUPORTE DE LINK DE COMUNICAÇÃO;20/09/2020;MENSAL: R$ 5.157.00 ANUAL: R$ 61.884,00;ÂNGELO O. L. DA SILVA/ ANDRÉ WILSON PIMENTA SANTANA;VIGENTE
8;19/2016;KASI;22/09/2016;LICENCIAMENTO DE USO DE SISTEMA DA INFORMAÇÃO (RCC);22/09/2020;MENSAL: R$ 68.750,00 ANUAL: R$ 825.000,00;EDMUNDO P. GADELHA/ GLEICY KELLEN DOS SANTOS FAUSTINO;VIGENTE
9;24/2016;NIVA TECNOLOGIA;11/11/2016;SISTEMA INTEGRADO DE SEGURANÇA ELETRÔNICA;21/03/2020;TOTAL: R$ 1.081.044,00;ROGER FRAGOSO DE SOUZA/ LEANDRO H. A. DE CARVALHO/ ANDRÉ WILSON P. SANTANA;VIGENTE
10;26/2016;SERVIX TECNOLOGIA;07/12/2016;SOLUÇÃO DE ARMAZENAMENTO DE DADOS;07/04/2020;TOTAL: R$ 335.500,00;LEANDRO HENRIQUE ANTUNES DE CARVALHO/RAMON LACERDA FONSECA;VIGENTE
11;04/2017;CEB DISTRIBUIÇÃO;16/03/2017;DEMANDA E FORNECIMENTO DE ENERGIA ELÉTRICA PARA O ATERRO CONTROLADO DO JÓQUEI;16/03/2020;TOTAL: R$ 275.000,00;FRANCISCO Antônio OTAVIANO/ LUCRÉCIA DE CARVALHO SILVA;VIGENTE
12;05/2017;CEB DISTRIBUIÇÃO;16/03/2017;DEMANDA E FORNECIMENTO DE ENERGIA ELÉTRICA PARA O SETOR DE GARAGENS OFICIAIS;16/03/2020;TOTAL: R$ 275.000,00;FRANCISCO Antônio OTAVIANO/ LUCRÉCIA DE CARVALHO SILVA;VIGENTE
13;08/2017;CEB DISTRIBUIÇÃO;02/06/2017;DEMANDA E FORNECIMENTO DE ENERGIA ELÉTRICA PARA O ATERRO SANITÁRIO DE BRASÍLIA.;02/06/2020;TOTAL: R$ 290.000,00;FRANCISCO Antônio OTAVIANO/ LUCRÉCIA DE CARVALHO SILVA;VIGENTE
