;;;;;;;;;;Data de;;;Data de;;;;;;;;;Valor;
;Nº;;;Empresa;;;Objeto;;;;;;;;;Informações;;;Contrato;;;;
;;;;;;;;;;Assinatura;;;Término;;;;;;;;;Global (R$);
12;;;AR. Empreendi- mentos Imobiliários;;;Aluguel da Sede;;;17/09/2010 15/10/2010 21/06/2011 10/10/2011 20/12/2012 27/03/2013 15/08/2013 04/10/2013 01/08/2014 01/10/2014;;;16/09/2015;;;Dispensa de Licitação;;;094.000.660/20 10 1º Aditivo 2º Aditivo 3º Aditivo 4º Aditivo 5º Aditivo 6º Aditivo 7º Aditivo 8º Aditivo 9º Aditivo;;;5.866.389;;
13;;;W&E Dedetização;;;Dedetização;;;01/10/2013 02/09/2015;;;01/10/2014 30/09/2015;;;Pregão Presencial 01/2013;;;094.000.001/20 13;;;274.000;;
14;;;CONNECTA;;;Locação de Veículos;;;13/10/2014;;;13/10/2015;;;Pregão Eletrônico 111/2014;;;094.000.192/20 14 1º Aditivo;;;515.928;;
15;;;DEFENDER;;;Fiscais de Piso – Aterro do Jóquei;;;01/12/2012 20/05/2013 29/11/2013 21/02/2014 28/11/2014;;;01/12/2013 - 30/11/2014 - 30/11/2015;;;Concorrência 02/2012;;;094.000.199/20 12 1º Aditivo 2º Aditivo 3º Aditivo 4º Aditivo;;;19.611.028;;
16;;;SOBERANA;;;Vigilância armada – Aterro Oeste;;;08/12/2014;;;08/12/2015;;;Pregão Presencial 08/2014;;;094.001098/201 3 1º Aditivo;;;4.334.299;;
17;;;Auto Posto Millennium;;;Abastecimento da Frota;;;16/01/2014;;;16/01/2016;;;Pregão Presencial 09/2013 SULIC/SEPLAN;;;094.001.216/20 13 1º Aditivo;;;1.115.712;;
18;;;Claro;;;Serviço de Acesso móvel à internet e tecnologia 3G;;;30/09/2011 30/09/2012 03/01/2013 30/09/2013 05/12/2013 29/09/2014;;;30/09/2012 29/09/2013 - 29/09/2014 - 29/09/2016;;;Pregão Eletrônico 051/2010;;;094.000.751/20 11 1º Aditivo 2º Aditivo 3º Aditivo 4º Aditivo 5º Aditivo;;;46.994;;
19;;;GAE/ CONSTRUBAN / DBO;;;Implantação, operação e manutenção do Aterro Oeste;;;10/09/2014;;;10/09/2019;;;Concorrência Pública 01/2014;;;094.000.649/20 13;;;82.745.120;;
