Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
1;05/2016;RECICLE A VIDA;20/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;20/05/2020;MENSAL: R$ 33.338,62 ANUAL: R$ 400.063,44;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/ FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
2;06/2016;ACOBRAZ;18/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;18/05/2020;MENSAL: R$ 31.931,96 ANUAL: R$ 383.183,52;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/ FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
3;07/2016;R3 COOPERATIVA;18/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;19/05/2020;MENSAL: R$ 31.931,96 ANUAL: R$ 383.183,52;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/ FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
4;08/2016;RENASCER;18/05/2016;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;18/05/2020;MENSAL: R$ 31.931,96 ANUAL: R$ 383.183,52;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/ FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
5;03/2018;COOPERATIVA AMBIENTAL DA CIDADE ESTRUTURAL - COORACE;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2021;MENSAL: R$ 120.439,44 ANUAL: R$ 1.445.273,28;SARA EVANGELISTA CARNEIRO DA SILVA/GERCIVAL SOARES RIBEIRO/CLEIDE GONÇALVES SILVA;VIGENTE
6;06/2018;COOPERATIVA DE RECICLAGEM AMBIENTAL - PLASFERRO;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2021;MENSAL: R$ 60.828,00 ANUAL: R$ 729.000,00;HALLANA DE SOUSA CARDOSO/SÉRGIO LOPES DE OLIVEIRA/JOSÉ ROMILDO DOS SANTOS;VIGENTE
7;07/2018;COOPERATIVA DE TRABALHO DE MATERIAL E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA - COOPERNOES;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2020;MENSAL: R$ 27.372,60 ANUAL: R$ 328.471,20;THAIS DE PAIVA RODRIGUES MARTINS LOPES/JOÃO COSTA FREIRE/MARIA DA GUIA PEREIRA DE AZEVEDO;VIGENTE
8;08/2018;ASSOCIAÇÃO DOS AMBIENTALISTAS DA VILA ESTRUTURAL - AMBIENTE;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2020;MENSAL: R$ 152.070,00 ANUAL: R$ 1.824.840,00;BRUNA KARLA SOARES ARAÚJO/MARIA DE FÁTIMA VIANA/IVANI MARIA DE SOUSA DA CONCEIÇÃO;VIGENTE
9;09/2018;COOPERLIMPO DE CATADORES BRASIL;31/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/01/2020;MENSAL: R$ 60.828,00 ANUAL: R$ 729.936,00;AILTON OLIVEIRA ROCHA/FRANCISCO Antônio MENDES JORGE/JOSÉ NILTON ARRAIS DA SILVA;VIGENTE
10;10/2018;COOPERATIVA DE RECICLAGEM TRABALHO E PRODUÇÃO - CORTRAP;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/01/2020;MENSAL: R$ 25.851,90 ANUAL: R$ 310.222,80;SARA EVANGELISTA CARNEIRO DA SILVA/GERCIVAL SOARES RIBEIRO/CLEIDE GONÇALVES SILVA;VIGENTE
