Dia;Mês;Tema;Palestrantes Instrutores;Presentes;Público
17;FEVEREIRO;Palestra: Planejamento Estratégico;Diretoria SLU;67;Servidores do SLU e convidados
1;MARÇO;Palestra: Recuperação dos Custos de Limpeza Urbana do DF;Marcos Montenegro (Novacap);35;Servidores do SLU e convidados
20;;Palestra: Importância da Ouvidoria e Apresentação da Carta de Serviço;Bruno Marques;53;Servidores do SLU e convidados
30;;Palestra:Transparência do SLU e Relatório de Atividades 2015;Heliana Kátia;54;Servidores do SLU e convidados
6;ABRIL;Palestra: Controle e Prevenção do Aedes Aegypti;Equipe de Educadores em Saúde/Dival/SES/ Governo de Brasília;45;Servidores do SLU e convidados
13;;Palestra: Olhares sobre o Manejo dos Resíduos Sólidos Urbanos: Desafios e Oportunidades;Heliana Kátia e Paulo Celso;60;Servidores do SLU e convidados
27;;Palestra: Olhares sobre o Manejo dos Resíduos Sólidos Urbanos: Coleta Seletiva;Heliana Kátia, Jaira Puppim, Andrea Portugal e Francisco Mendes;52;Servidores do SLU e convidados
11;MAIO;Palestra: Lei de Acesso a Informação;Maria Isabel, Bruno Braga e Hostílio Neto;42;Servidores do SLU e convidados
25;;Palestra: Agricultura Urbana;Dalembert de Barros Jaccud;76;Servidores do SLU e convidados
1;JUNHO;Palestra: Fiscalização;Rubens do Amaral, José Jacinto, Luiz Maciel e Ednilson Cordeiro;54;Servidores do SLU e convidados
15;;Palestra: Aterros: Ouro Verde;Felipe Costa e Ramon Baptista;61;Servidores do SLU e convidados
22;;Palestra: Metodologia 5S;Emanuell Henrique;82;Servidores do SLU
29;;Palestra: Compostagem e uso de Compostos;Marcos Maia;59;Servidores do SLU e convidados
13;J ULHO;Palestra: Saúde (H1N1/Hipertensão/Diabetes);Dr. Marcus Maciel;48;Servidores do SLU e convidados
27;;Palestra: Sensibilização dos servidores do SLU em relação às pessoas com deficiência;Andrea Chaves;27;Servidores do SLU
17;AGOSTO;Palestra: Comitê Gestor de Teconologia da Informação e Comunicação;Bruno Marques;23;Servidores do SLU
24;;Palestra: Plantas Medicinais e Aromáticas;Ailton Neves;29;Servidores do SLU e convidados
6;SETEMBRO;Palestra: Código de ética no âmbito da Administração Pública do DF;João Batista;59;Servidores do SLU e convidados
21;;Palestra: Importância do Planejamento para a Aposentadoria;Jacqueline Ferraz;74;Servidores do SLU e convidados
27 a 29;;Treinamento em Operador de Balança Eletrônica com carga horária de 4 horas;Ângelo de Oliveira e Lucas Rocha;72;Servidores do SLU
