1;;Construir;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;15.211.445/0001-98;;31;;;Colônia Agrícola Samambaia;Zilda;cooperativaconstruir2018@gmail.com
2;;Cooperdife;AE para Indústria Lotes 3 a 6 – Núcleo de Limpeza do SLU – Sobradinho/DF;10.664.038/0001-12;;23;;;Sobradinho I;Gilmar;cooperdife.coop@gmail.com
3;;Coopere;QNP 28 AE – IRR – Ceilândia/DF;10.756.259/0001-10;;30;;;Riacho Fundo I e Riacho Fundo II;Ana Cláudia;coopere.recicle@gmail.com
4;;Coopernoes;Centro Integrado de Resíduos – Pátio;20.646.087/0001-86;;40;;;SCIA;Alan;reciclagemcoopernoes@gmail.com
5;;Cortrap;SCIA Quadra 9, conj. 01, lote 02 – Brasília/DF;04.091.544/0001-67;;40;;;Jardim Botânico I;Janilson;cooperativacortrap012018@gmail.com
6;;Plasferro;QNP 28 AE – IRR – Ceilândia/DF;10.746.644/0001-87;;74;;;Ceilândia;Mara;plasferro@gmail.com
7;;Recicla Brasília;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;09.481.371/0001-07;;25;;;Lago Sul;Roque;reciclabsb2017@gmail.com
8;;Recicla Mais Brasil;Quadra 05, Conjunto O, Lotes 1 e 2 – Paranoá/DF;19.491.165/0001-31;;50;;;Paranoá, Itapoã e Jardim Botânico II;William;reciclamaisbrasildf@gmail.com
9;;Recicle a Vida;QNM 28 Módulo B, AE – Ceilândia. Brasília/DF;07.887.773/0001-80;;68;;;Samambaia;Claudia;cooperativa.recicle@gmail.com
10;;Renascer;SIA. Trecho, 17 Lote 1.660/1.700 – Brasília/DF;16.604.221/0001-09;;35;;;Candangolândia e Núcleo Bandeirante;Fátima;renascercooperativa.bsb@gmail.com
;TOTAL;;;;;;416;;;;
