;APROVEITAMENTO DA COLETA SELETIVA POR COOPERATIVA NAS RAS EM 2023;;;;;;;;;;;;;;;;
;Associação/Cooperativa;;;Região Administrativa;;;Renda;;;Massa Coletada (Ton);;;Rejeito (Ton);;;Aproveitamento;
;Construir;;Vicente Pires;;;Média;;;277,46;;;18,50;;;93%;;
;Cooperdife;;Sobradinho II e Fercal;;;Média;;;790,54;;;160,48;;;80%;;
;Coopere;;Riacho fundo I e II;;;Média baixa;;;465,83;;;54,71;;;88%;;
;Coopernoes;;SCIA/Estrutural;;;Baixa;;;157,03;;;16,15;;;90%;;
;Cortrap;;Jardim Botânico I;;;Alta;;;350,81;;;5,21;;;99%;;
;CRB;;Brazlândia;;;Média baixa;;;504,86;;;10,28;;;98%;;
;CRV;;Lago Norte e Varjão;;;Alta;;;749,83;;;60,22;;;92%;;
;CTELS;;Arniqueira;;;Média Alta;;;172,80;;;21,55;;;88%;;
;Ecolimpo;;São Sebastião;;;Média baixa;;;324,23;;;52,76;;;84%;;
;Flor do Cerrado;;Planaltina II;;;Média baixa;;;222,82;;;21,98;;;90%;;
;Nova Superação;;SIA;;;Média Alta;;;171,54;;;14,47;;;92%;;
;Planalto;;Sobradinho II e Fercal;;;Média;;;190,03;;;27,46;;;86%;;
;Plasferro;;Jardim Botânico III;;;Alta;;;203,85;;;12,74;;;94%;;
;R3;;Santa Maria;;;Média baixa;;;770,02;;;175,38;;;77%;;
;Recicla Brasília;;Lago Sul;;;Alta;;;431,89;;;15,17;;;96%;;
;Reciclamais;;Planaltina I;;;Média baixa;;;192,96;;;27,32;;;86%;;
;Recicla Mais Brasil;;Paranoá e Itapoã;;;Baixa;;;419,95;;;47,10;;;89%;;
;Recicla Mais Brasil;;Jardim Botânico II;;;Alta;;;653,04;;;134,15;;;79%;;
;Recicle a Vida;;Samambaia;;;Média Baixa;;;853,80;;;165,59;;;81%;;
;Reciclo;;Park Way (exceto Q. 3 a 5);;;Alta;;;219,02;;;19,89;;;91%;;
;Renascer;;Candangolândia e Núcleo Bandeirante;;;Média Alta;;;216,13;;;31,50;;;85%;;
;Vencendo Obstáculos;;Cruzeiro Velho;;;Média Alta;;;141,30;;;21,63;;;85%;;
;TOTAL;;;;;;;;;8.479,7;;;1.114,2;;;88%;
