Programa Trabalho;;;;;;;;;;;;;;;;;;;;;;;;o
;;;;;Lei;;Al;teração;Conti;ngenciado;;Bloq;ueado;Desp. A;utorizada;;Emp;enhado;;Dispo;nível;;Liquidad;
Programa Trabalho Modernização de Sistema de Informação;;Lei;;;Alteraçã;;o;Contingen;ciado;Bloquea;;do;Des. A;utorizada;Empenha;;do;Dispon;;ível;Li;;quidado;
;;;;;94.000;;5;03.000;5;97.000;;;0;;0;;;0;;0;;;0;
Modernização de Sistema de Informação Gestão da Informação e dos Sistemas de Tecnologia;;94.000,00;;;503.000,0;;0;597.00;0,00;0,00;;;0;,00;0,00;;;0,0;;0;;;0,00;9
;;;;;129.998;;;25.000;;0;;;0;15;4.998;;14;4.330;;10.6;68;;133.75;
Gestão da Informação e dos Sistemas de Tecnologia Administração de Pessoal;;129.998,00;;1;25.000,0 06.001.671;;0;0,20 0;;0,00 0;;82;154. 8.716;997,80 105.1;144.330 72.955;;,19 86.2;10.66 40.439;;7,61 18.93;13 2.516;;3.758,53 86.240.4;39
Con cAedsmsãinois tdreaç Bãeon deef íPceiosss oaa Sl ervidores;;106.001.671,0;;0;16.259.06,2000;;-7.;033.1705,00;;0828.716,;;00;0105.17;2.955,90.022;6.8464.5240.43;;9,394.2;261.84.49432.;;515,661;86.2;;40.493.292,364.44;4
ManuCtoenncçeãsos ãdoe dSee Brveinçeofsíc Aiodsm a inSiesrtvraidtoivroess Gerais;;16.259.620,0;;0;2.7-71.50.3730.1075,;;001.;873.6303,00;1;32.5220,00;;19;8.290.0226;.445,040.25;8.691.2126.44;;4,063.9;55.8440,9;;4 302.;7689.22;;6.434.49,5056.22;4
PubliMcaidnaudteen eç ãPor odep aSgearvnidçao sI nAsdtimtuinciisotrnaatilvos Gerais;;2.715.700,00;;;715..887732.633,;;00;63.210382.52;1,52;0198.200,;;00;04.258;.611,4813;9.038.0955.90;;7,2213;9.038002.76;;7,82 0;3.95;;5.22143,196.08;0
PubliPcuidbalicdidea ed eP ero Ppraogpaognadnad Ua tIinlisdtaitudcei oPnúabllica;;75.872,00;;;7056.30.02008,0;;0 -6;83.7460,00;;0 0,00;;;0 139.;080,0021;.254139.080;;,00 2;1.2530,0;;0 1;13;;9.0802,010.253;
