Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
1;34/2019;MICROSENS S.A.;23/12/2019;AQUISIÇÃO DE DISPOSITIVOS MÓVEIS DO TIPO TABLET;22/12/2020;R$ 194.340,00;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VIGENTE
2;35/2019;DATEN TECNOLOGIA;30/12/2019;COMPUTADOR TIPO I/ COMPUTADOR TIPO II;29/12/2020;R$ 448.210,00;LEANDRO HENRIQUE ANTUNES DE CARVALHO/ ANDRÉ WILSON PIMENTA SANTANA;VIGENTE
3;36/2019;FAGUNDEZ DISTRIBUIÇÃO LTDA;23/12/2019;MONITOR DE VÍDEO LG;22/12/2020;R$ 84.000,00;LEANDRO HENRIQUE ANTUNES DE CARVALHO/ ANDRÉ WILSON PIMENTA SANTANA;VIGENTE
4;42/2018;ALMIX COMÉRCIO DE SUPRIMENTOS;21/06/2018;MATERIAL DE COPA E COZINHA PARA O IRR;21/06/2019;R$ 25.989,13;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/ MARCO TÚLIO DOS SANTOS;VENCIDO
5;43/2018;IDEAFLEX INDUSTRIA E COMERCIO DE MÓVEIS PARA ESCRITÓRIO;21/06/2018;MATERIAL DE COPA E COZINHA PARA O IRR;21/06/2019;R$ 44.979,20;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VENCIDO
6;44/2018;SANTAFLEX INDUSTRIA E COMÉRCIO DE MÓVEIS EIRELI;26/26/2018;MATERIAL DE COPA E COZINHA PARA O IRR;26/06/2019;R$ 29.582,46;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VENCIDO
7;45/2018;F.F.N. FORNAZARI;25/06/2018;MATERIAL DE COPA E COZINHA PARA O IRR;25/06/2019;R$ 7.999,17;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VENCIDO
8;46/2018;ATLANTIS COMÉRCIO DE MÁQUINAS E EQUIPAMENTOS EIRELI;26/06/2018;MATERIAL DE COPA E COZINHA PARA O IRR;26/06/2019;R$ 11.490,00;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VENCIDO
9;47/2018;CLAUDIA CRISTINA COELHO VICENTE - MEI;25/06/2018;MATERIAL DE COPA E COZINHA PARA O IRR;25/06/2019;R$ 7.813,98;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VENCIDO
10;56/2018;USITON INDÚSTRIA E COMÉRCIO LTDA;26/10/2018;PRENSAS;25/10/2019;R$ 288.600,00;ANDRÉA PORTUGAL FELLOWS KUNERT DOURADO/MARCO TÚLIO DOS SANTOS;VENCIDO
