;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL;MÉDIA
PEV Asa sul;22,06;19,73;21,88;1,57;29,27;27,00;28,47;18,81;17,18;14,22;14,40;8,42;223,01;18,58
PEV Brazlândia 1;8,71;5,78;4,74;4,48;4,75;3,91;4,75;5,10;10,44;0,00;0,00;0,00;52,66;4,39
PEV Brazlândia 2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,83;0,00;0,00;0,00;1,83;0,15
PEV Ceilândia 1;55,87;62,23;69,36;3,68;96,68;98,24;82,33;60,72;36,76;17,25;21,53;11,45;616,10;51,34
PEV Ceilândia 2;7,19;5,77;1,27;0,00;4,55;0,00;5,07;19,05;22,02;2,92;1,22;1,02;70,08;5,84
PEV Gama;75,63;83,33;85,73;0,00;0,00;0,00;0,00;28,94;34,99;20,16;19,81;11,87;360,46;30,04
PEV Guará;38,50;46,86;44,75;6,37;70,03;45,73;47,44;35,80;45,97;21,64;16,51;8,66;428,26;35,69
PEV Planaltina;12,23;10,54;11,67;0,00;0,00;0,00;19,91;32,19;24,67;6,03;6,04;4,08;127,36;10,61
PEV Pôr do sol;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,11;0,00;0,51;0,00;0,00;5,62;0,47
PEV Taguatinga;98,16;107,66;113,12;75,58;63,64;59,29;53,98;72,03;73,22;43,77;50,64;29,56;840,65;70,05
Total;318,35;341,90;352,52;91,68;268,92;234,17;241,95;277,75;267,08;126,50;130,15;75,06;2.726,03;227,17
