NÚMERO DE VIAGENS;;;;;
Mês;Remoção Manual;Remoção Mecanizada;Remoção PEV;Outros;Total
Janeiro;872;4.301;417;12.276;17.866
Fevereiro;815;3.619;453;10.965;15.852
Março;856;4.049;479;11.845;17.229
Abril;842;3.810;500;9.630;14.782
Maio;845;3.804;579;11.414;16.642
Junho;869;3.857;574;13.776;19.076
Julho;900;4.245;606;15.397;21.148
Agosto;861;4.021;565;14.714;20.161
Setembro;869;4.011;550;15.706;21.136
Outubro;907;4.228;559;14.763;20.457
Novembro;831;3.731;511;12.851;17.924
Dezembro;866;3.886;330;13.136;18.218
TOTAL;10.333;47.562;6.123;156.473;220.491
