;TAXA DE LIMPEZA PÚBLICA (EM R$);;;;;;;;;;;;
;;;Prevista/lançada;;;Realizada;;;Pagamento;;;LOA – Lei Orçamentária Anual;
2012;;118.369.170,00;;;113.585.231,56;;;96%;;;114.818.094,00;;
2013;;146.515.189,00;;;133.964.472,63;;;91%;;;142.119.733,00;;
2014;;144.906.750,00;;;130.748.508,70;;;90%;;;140.559.548,00;;
2015;;149.822.727,00;;;144.913.853,41;;;97%;;;127.868.045,00;;
2016;;160.337.194,00;;;160.242.057,97;;;100%;;;155.527.079,00;;
2017;;161.403.927,00;;;161.396.446,00;;;100%;;;161.403.927,00;;
2018;;174.425.548,00;;;159.196.300,38;;;91%;;;174.425.548,00;;
2019;;183.140.330,00;;;173.648.794,69;;;95%;;;123.042.342,00;;
2020;;182.886.863,00;;;167.244.888,34;;;91%;;;139.236.863,00;;
2021;;205.269.385,00;;;144.705.911,99;;;70%;;;139.150.453,00;;
