MÊS;COLETA E TRANSPORTE MECANIZADO DE ENTULHO;COLETA E TRANSPORTE MANUAL DE RESÍDUOS VOLUMOSOS E PODAS;CUSTO TOTAL
Janeiro;R$ 179.511,79;R$ 146.068,81;R$ 325.580,60
Fevereiro;R$ 192.940,45;R$ 156.642,16;R$ 349.582,61
Março;R$ 192.940,45;R$ 156.642,16;R$ 349.582,61
Abril;R$ 192.940,45;R$ 153.509,32;R$ 346.449,77
Maio;R$ 190.728,42;R$ 156.035,56;R$ 346.763,98
Junho*;R$ 102.446,07;R$ 60.050,03;R$ 162.496,10
Julho;R$ 147.646,60;R$ 146.732,31;R$ 294.378,91
Agosto;R$ 151.016,26;R$ 148.110,62;R$ 299.126,88
Setembro;R$ 154.571,40;R$ 148.110,62;R$ 302.682,02
Outubro;R$ 154.571,40;R$ 148.110,62;R$ 302.682,02
Novembro;R$ 154.571,40;R$ 56.948,53;R$ 211.519,93
Dezembro;R$ 76.353,63;R$ 23.948,66;R$ 100.302,29
TOTAL;1.890.238,32;R$ 1.500.909,40;R$ 3.391.147,72
