DIVISÃO DO ORÇAMENTO (R$) - 2020;;;;;
VALOR LIQUIDADO;TIPO DE DESPESA;;;;
;Pessoal Técnico Administrativo*;Limpeza Pública;Obras /Mat. Perm.;Manutenção Administrativa;Total mensal
JAN;R$ 7.459.074;R$ 36.930.662;R$ 50.000;R$ 405.206;R$ 44.844.942
FEV;R$ 7.307.060;R$ 35.115.054;R$ -;R$ 658.814;R$ 43.080.928
MAR;R$ 7.308.128;R$ 36.638.669;R$ -;R$ 527.598;R$ 44.474.395
ABR;R$ 7.060.332;R$ 31.793.111;R$ 374.141;R$ 416.244;R$ 39.643.827
MAI;R$ 7.076.858;R$ 24.852.378;R$ -;R$ 554.381;R$ 32.483.616
JUN;R$ 7.150.387;R$ 26.342.839;R$ -;R$ 398.876;R$ 33.892.101
JUL;R$ 6.960.853;R$ 37.074.699;R$ -;R$ 549.773;R$ 44.585.325
AGO;R$ 6.986.192;R$ 34.884.778;R$ -;R$ 422.628;R$ 42.293.598
SET;R$ 7.926.308;R$ 16.145.746;R$ -;R$ 363.951;R$ 24.436.006
OUT;R$ 7.082.335;R$ 35.209.830;R$ 76.232;R$ 402.311;R$ 42.770.709
NOV;R$ 6.957.044;R$ 34.201.063;R$ 69.834;R$ 331.147;R$ 41.559.087
DEZ**;R$ 7.557.322;R$ 6.698.692;R$ 326.716;R$ 96.215;R$ 14.678.945
TOTAL;R$ 86.831.894;R$ 375.499.134;R$ 896.923;R$ 5.195.894;R$ 468.423.845
Média/Mês;R$ 7.235.991;R$ 31.291.595;R$ 74.744;R$ 432.991;R$ 39.035.320
