Resíduos processados em usinas de tratamento;T;230.916;238.851;225.357;- 5,65
Resíduos domiciliares aterrados;T;809.085;784.460;800.872;+ 2,09
Coleta de animais mortos;U;2.920;3.011;2.181;- 27,57
Coleta seletiva;T;29.968;28.549;28.522;- 0,09
Transferência de resíduos;T x Km;17.004.130;18.072.534;21.468.117;+ 18,79
Resíduos de entulhos aterrados na URE;T;0;1.303.662;1.423.028;+ 9,16
Transporte de chorume;Viagem;0;946;1.542;+ 63,00
Retirada de rejeitos das IRRs;Equipe;0;2,125;24,68;+ 1.064,15
Retirada de entulhos dos PEVs;Equipe;0;4,916;17,89;+ 263,62
Tratamento de chorume;m3;0;0;18.588;-
