Nº;SEDE;NÚCLEO;RA;ENDEREÇO;PROPRIEDADE;SITUAÇÃO;ÁREA TOTAL;ÁREA CONSTRUÍDA
;;;;;;;M²;M²
37;Instalações de Recuperação de Resíduos - IRRs;NUGUA;SIA;SIA Trecho 17 Rua 8 Lote 105;Particular;Alugado;24.000;1.194
38;;NUEST;SCIA;SCIA Quadra 10 Conjunto 01 Lotes 02 E 03;Particular;Alugado;1.206;2.412
39;;NUBSB;SAAN;SAAN Quadra 02 Lote 650;Particular;Alugado;2.800;3.000
40;;NUPAR;Paranoá;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";Terracap;Cedido;17.211;0
41;;NUBRAZ;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José;Terracap;Cedido;7.878;0
42;;NUCEI;Ceilândia;QNP 28 Área Especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;200.000;0
43;;NUBSB;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;0
44;;NUSOB;Sobradinho;A/E Indústria 3 LT 04/06;Próprio;Regularizado;30.000;0
45;;NUEST;SCIA;SCIA Q. 09 Cj. 01 Lote 02;Terracap;Cedido;3.800;0
;Subtotal;-;-;-;-;-;403.364;6.606
;Total;-;-;-;-;-;1997185;39.559
