7;24/04;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Líder da Cidade Maria das Graças Borges Lideranças Comunitárias;Conselho Comunitário Asa Norte;23;Auditório do SLU
8;30/04;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Nery Moreira da Silva Lideranças Comunitárias AGEFIS;Administração Regional de Santa Maria RA XIII;17;Auditório da Administração Regional
9;07/05;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretor de Limpeza Urbana) Administrador da Cidade Sr. Ricardo Lustosa Lideranças Comunitárias;Administração Regional de Taguatinga RA-III;18;Auditório da Administração Regional
10;14/05;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administradora da Cidade Professora Maria Antônia Lideranças Comunitárias;Administração Regional de Gama RA-II;25;Auditório da Administração Regional
11;11/06;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Roosevelt Vilela Pires Lideranças Comunitárias;Administração do Park Way RA-XXIV;29;Auditório da Administração Regional
12;11/06;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Roosevelt Vilela Pires Lideranças Comunitárias;Administração da Candangolândia RA-XIX;29;Auditório da Administração Regional
13;11/06;Equipe SLU (Diretora Geral, Assessoria, ASCOM e Diretora de Limpeza Urbana) Administrador da Cidade Sr. Roosevelt Vilela Pires Lideranças Comunitárias AGEFIS;Administração do Núcleo Bandeirante RA-VIII;29;Auditório da Administração Regional
14;11/06;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administrador da Cidade Aldenir Chaves Paraguassú (Interino) Lideranças Comunitárias;Administração do Jardim Botânico RAXXVII;12;Auditório da Administração Regional
15;11/06;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administrador da Cidade Sr.Aldenir Chagas Paraguassú Lideranças Comunitárias;Administração do Lago Sul RA- XVI;12;Auditório da Administração Regional
16;18/06;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana) Administrador da Cidade Sr. Igor Tokarski Lideranças Comunitárias;Administração do Plano Piloto RA-I;18;Auditório da Administração Regional
17;25/06;Equipe SLU (Diretoria Geral, Assessoria, ASCOM e Diretoria de Limpeza Urbana);Administração do Paranoá RA-VII;17;Auditório da Administração Regional
