16;;;;;;NUSAM;;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;Administração Regional de Samambaia;Empréstimo;;-;;;-;;
17;;;;;;NUMAR;;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";Administração Regional de Santa Maria;Empréstimo;;-;;;-;;
;;;;Subtotal;;;;;;;;;;305.763;;;12.621;
18;;;Terreno;;;NUALM/NUPAT;;Brasília;Setor de Áreas Isoladas norte (SIA/NORTE);Próprio;Regularizado;;50.000;;;4.150;;
19;;;;;;Terreno;;Núcleo Bandeirante;Área Especial n° 06 do Setor Avenida Contorno do Núcleo Bandeirante-DF (Desocupado - 542 m2 cedidos à SECRIANÇA);Próprio;Regularizado;;1.543;;;-;;
20;;;;;;Terreno;;Águas Claras;Lote 24, Avenida jacarandá;Próprio;Regularizado;;6.931;;;-;;
21;;;;;;Terreno;;Gama;Área Reservada n° 01 Setor Leste Gama – DISTRITO FEDERAL (Desocupado);Próprio;Regularizado;;4.800;;;-;;
22;;;;;;Terreno;;Samambaia;QS 427, Área Especial Lote04, Expansão da Samambaia (O terreno da Samambaia já foi transferido da Secretaria de obras para Seduma);-;Processo Regularização;;7.727;;;-;;
;;;;Subtotal;;;;;;;;;;71.001;;;4.150;
23;;;Aterros;;;Aterro Sanitário de Brasília;;Samambaia;DF 180 - Km 51,5;Secretaria de Infraestrutural e Serviços Públicos;Processo Regularização 0110-000193/2016;;760.000;;;1.537;;
24;;;;;;Aterro Controlado do Jóquei;;SCIA/Estrutural;AE. Quadra 15, Conj. C1;Terracap;Processo Regularização 00111- 00016598/2017-01;;123.710;;;1.058;;
;;;;Subtotal;;;;;;;;;;883.710;;;2.595;
25;;;USINAS;;;NUTRA;;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José Brazlândia;Terracap;Regularizado;;7.878;;;1.098;;
26;;;;;;NUTRA;;Ceilândia;QNP 28 área especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;;200.000;;;295;;
27;;;;;;NUTRA;;Asa Sul;Avenida das Nações S/N;Próprio;Próprio;;116.469;;;9.737;;
;;;;Subtotal;;;;;;;;;;324.347;;;11.130;
28;;;Papa-Entulhos;;;NUTAG;;Taguatinga;Setor G Norte QNG AE 9;Próprio;Próprio;;1.000;;;44;;
29;;;;;;NUCEI;;Ceilândia;Setor N QNN 29 AE G/K;Próprio;Próprio;;1.000;;;44;;
30;;;;;;NUTRA;;Brazlândia;Setor Norte AE 2N Lt M;Próprio;Próprio;;1.000;;;44;;
31;;;;;;NUGAM;;Gama;Av Contorno Norte Lt 2;Próprio;Próprio;;1.000;;;44;;
32;;;;;;NUPLA;;Planaltina;Setor de Áreas Especiais Norte AE 11;Próprio;Próprio;;1.000;;;44;;
33;;;;;;NUGUA;;Guará;SRIA II QE 25 AE 1 CAVE;Administração Regional do Guara;Cedido;;1.000;;;44;;
34;;;;;;NUCEI;;Ceilândia;QNP 28 área especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;;1.000;;;44;;
35;;;;;;NUCEI;;Ceilândia;QNN 13 Área Especial Módulo B;Administração Regional da Ceilândia;Cedido;;1.000;;;0;;
36;;;;;;NUBRAZ;;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José;Terracap;Cedido;;1.000;;;0;;
;;;;Subtotal;;;;;;;;;;9.000;;;308;
37;;;Instalações de Recuperação de Resíduos - IRRs;;;NUGUA;;SIA;SIA Trecho 17 RUA 8 LOTE 105;Particular;Alugado;;24.000;;;1.194;;
38;;;;;;NUEST;;SCIA;SCIA Quadra 10 Conjunto 01 LOTES 02 E 03;Particular;Alugado;;1.206;;;2.412;;
39;;;;;;NUBSB;;SAAN;SAAN Quadra 02 LOTE 650;Particular;Alugado;;2.800;;;3.000;;
40;;;;;;NUPAR;;Paranoá;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";Terracap;Cedido;;17.211;;;0;;
41;;;;;;NUBRAZ;;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José;Terracap;Cedido;;7.878;;;0;;
42;;;;;;NUCEI;;Ceilândia;QNP 28 Área Especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;;200.000;;;0;;
43;;;;;;NUBSB;;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;;116.469;;;0;;
44;;;;;;NUSOB;;Sobradinho;A/E Indústria 3 LT 04/06;Próprio;Regularizado;;30.000;;;0;;
45;;;;;;NUEST;;SCIA;SCIA Q. 09 Cj. 01 Lote 02;Terracap;Cedido;;3.800;;;0;;
;;;;Subtotal;;;;;;;;;;403.364;;;6.606;
;TOTAL;;;;;;;;;;;;;1.997.186;;;39.559;
