Cooperativas/Associações COM contrato de coleta seletiva E triagem;;;;;;;;;;
;;;CNPJ;Nº DE CATADORES;;;;;;
;;;;;;TOTAL DE;RA DE PRESTAÇÃO;PRESIDENTE/;;
Nº;NOME;ENDEREÇO;;COLETA;;CATADORES;DE SERVIÇO;RESPONSÁVEL;CONTATO;E-MAIL
;;;;;TRIAGEM;;;;;
;;;;SELETIVA;;;;;;
1;Acobraz;AE nº.: 02 Lotes I, J, K e L - Setor Norte - Brazlândia/DF.;02.982.864/0001-81;5;14;19;Brazlândia;Marcone;99857-3021;acobraz34brazlandia@gmail.com
2;Cooperdife;AE para Indústria Lotes 3 a 6 - Núcleo de Limpeza do SLU - Sobradinho/DF;10.664.038/0001-12;6;17;23;Sobradinho I;Gilmar;99903-2854;cooperdife.coop@gmail.com
3;Coopere;QNP 28 AE - IRR - Ceilândia/DF;10.756.259/0001-10;7;58;65;Riacho Fundo I e Riacho Fundo II;José Salustiano;8169-4584;coopere.recicle@gmail.com
4;Recicla Brasília;Centro Integrado de Resíduos - Pátio Ferroviário - Brasília/DF;09.481.371/0001-07;7;28;35;Lago Sul;Roque;9917-2501;reciclabsb2017@gmail.com
5;Recicla Mais Brasil;Quadra 05, Conjunto O, Lotes 1 e 2 - Paranoá/DF;19.491.165/0001-31;5;12;17;Paranoá e Itapoã;Cristiane;9575-3378;reciclamaisbrasildf@gmail.com
6;Recicle a Vida;QNM 28 Módulo B, AE – Ceilândia. Brasília/DF;07.887.773/0001-80;5;49;54;Samambaia;Cleusimar;3373-1810;cooperativa.recicle@gmail.com
7;Renascer;SIA. Trecho, 17 Lote 1.660/1.700 - Brasília/DF;16.604.221/0001-09;4;8;12;Candangolândia e Núcleo Bandeirante;Fátima;98465-1039;renascercooperativa.bsb@gmail. com
Subtotal;;;;39;186;225;;;;
TOTAL;;;;450;;;;;;
