;;;;integrar o presente instrumento sem necessidade de transcrição na íntegra.;;;;;
30;15/2023;LIMA DUARTE CONSTRUTORA E INCORPORADORA LTDA;30/08/2023;;O Contrato tem por objeto a prestação de;;30/08/2024;902484;LUÍS FERNANDO MONTEIRO BARBOSA Mat. º 281.719-5 Ana Cristina de Medeiros Mat.0281458-7
;;;;;serviços de de locação de veículos automotores,;;;;
;;;;;sem motorista e sem combustível, a fim de;;;;
;;;;;atender às demandas das diretorias que;;;;
;;;;;compõem a estrutura administrativa do SLU,;;;;
;;;;;consoante especifica o Edital de Licitação do;;;;
;;;;;Pregão Eletrônico nº 11/2023-SLU/DF;;;;
;;;;;(115292802), da Proposta de Preços;;;;
;;;;;(116369075), que passam a integrar o presente;;;;
;;;;;instrumento sem necessidade de transcrição na;;;;
;;;;;íntegra.;;;;
31;19/2023;SOTKON BRASIL - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA;30/10/2023;;O Contrato tem por objeto a prestação de;;30/10/2024;2.687.850,00 (dois milhões, seiscentos e oitenta e sete mil oitocentos e cinquenta reais);MARCUS VINÍCIUS DE RESENDE MAIA LEITE, matrícula nº 276.568-3, LORENA GONÇALVES BRASIL, matrícula nº 281.342-4, MURILO DE OLIVEIRA CAIXÊTA MAT. 276.310-9 FLAVIO RODRIGUES DE QUEIROZ MACEDO MAT. 281,344-0- SUPLENTE
;;;;;serviços de fornecimento e instalação de 50;;;;
;;;;;(cinquenta) unidades de contêineres;;;;
;;;;;semienterrados, consoante especificam os;;;;
;;;;;termos do Edital de Licitação do Pregão;;;;
;;;;;Eletrônico nº 02/2023-CPL/SLU-DF;;;;
;;;;;(109400063), da Proposta de Preços;;;;
;;;;;(110768504), da Ata de Registro de Preços n.º;;;;
;;;;;01/2023 (124777476), que passam a integrar o;;;;
;;;;;presente instrumento sem necessidade de;;;;
;;;;;transcrição na íntegra.;;;;
32;20/2023;SOTKON BRASIL - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAOLTDA;23/11/2023;;Prestação de serviços de fornecimento e;;22/11/2024;913866;
;;;;;instalação de 17 (dezessete) unidades de;;;;
;;;;;contêineres semienterrados, consoante;;;;
;;;;;especificam os termos do Edital de Licitação;;;;
;;;;;do Pregão Eletrônico nº 02/2023-CPL/SLU-DF.;;;;
;;;;;Natureza de Despesa: 449052;;;;
33;21/2023;EMPRESA LUC ENGENHARIA E INTEGRAÇÃO DE SISTEMA DE SEGURANÇA LTD;23/11/2023;;O Contrato tem por objeto a contratação de;;;16.680,89;MARCONE MENDONÇA DE ARAÚJO matrícula nº 83.066-6 CARLOS ALBERTO DO NASCIMENTO ARAUJO matrícula nº 282.195-8.
;;;;;empresa especializada para o fornecimento de;;;;
;;;;;controladoras e software para automatizar as;;;;
;;;;;cancelas do Serviço de Limpeza Urbana do;;;;
;;;;;Distrito Federal, incluindo a entrega,;;;;
;;;;;implantação, manutenção e assistência técnica;;;;
;;;;;pelo período de 36 meses.;;;;
34;22/2023;SOTKON BRASIL - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAOLTDA;20/12/2023;;Contrato tem por objeto a prestação de;;19/12/2024;R$ 376.299,00 (trezentos e setenta e seis mil, duzentos e noventa e nove reais);CRISTINA MARIA VALENTE ATCHABAHIAN, RG-CI nº : 11.110.980-2 SSP/SP, e RICARDO GONÇALVES VALENTE, RG- CI nº 7.980.532-2 SSP/SP.
;;;;;serviços de fornecimento, instalação e eventual;;;;
;;;;;realocação e reposição de 07 (sete) unidades;;;;
;;;;;de contêineres semienterrados, consoante;;;;
;;;;;especificam os termos do Edital de Pregão;;;;
;;;;;Eletrônico nº 02/2023-SLU-DF;;;;
35;18/2023;TECNOLTA EQUIPAMENTOS ELETRÔNICOS LTDA, NOS TERMOS DO PADRÃO Nº 04/2002.;23/11/2023;;A prestação de serviço de Outsourcing de;;;R$ 908.870,40 (novecentos e oito mil oitocentos e setenta reais e quarenta centavos);
;;;;;impressão, cópia e digitalização, com;;;;
;;;;;disponibilização de equipamentos;;;;
;;;;;monocromáticas e policromáticas e scanners, a;;;;
;;;;;serem contratados por grupo, incluindo;;;;
;;;;;instalação, suporte técnico e manutenção on-;;;;
;;;;;site (incluindo peças), além do fornecimento de;;;;
;;;;;insumos (toner, roletes, cartucho, bastões,;;;;
