33;;;;;;NUGUA;;;Guará;;;SRIA II QE 25 AE 1 CAVE;;;Administração Regional do Guara;;;Cedido;;;1.000;;;44;;
34;;;;;;NUCEI;;;Ceilândia;;;QNP 28 - Área especial sem número - Setor Psul;;;Terracap;;;Processo Regularização 111.000.662/2006;;;1.000;;;44;;
35;;;;;;NUCEI;;;Ceilândia;;;QNN 13 Área Especial Módulo B;;;Administração Regional da Ceilândia;;;Cedido;;;1.000;;;0;;
36;;;;;;NUBRAZ;;;Brazlândia;;;Quadra 33 Área Especial nº. 3 Vila São José;;;Terracap;;;Cedido;;;1.000;;;0;;
;37;;Instalações de Recuperação de Resíduos - IRRs;;;;NUGUA;;;SIA;;;SIA Trecho 17 RUA 8 LOTE 105;;;Particular;;;Alugado;;;24.000;;;1.194;
38;;;;;;NUEST;;;SCIA;;;;SCIA Quadra 10 Conjunto 01;;Particular;;;Alugado;;;1.206;;;2.412;;
;;;;;;;;;;;;;LOTES 02 E 03;;;;;;;;;;;;;
;39;;;;;;NUBSB;;;SAAN;;;SAAN Quadra 02 LOTE 650;;;Particular;;;Alugado;;;2.800;;;3.000;
40;;;;;;NUPAR;;;Paranoá;;;;"Quadra 05 Área Especial ""D""";;Terracap;;;Cedido;;;17.211;;;0;;
;;;;;;;;;;;;;Lotes 01 e 02;;;;;;;;;;;;;
41;;;;;;NUBRAZ;;;Brazlândia;;;;Quadra 33 Área Especial nº. 3 Vila;;Terracap;;;Cedido;;;7.878;;;0;;
;;;;;;;;;;;;;São José;;;;;;;;;;;;;
42;;;;;;NUCEI;;;Ceilândia;;;QNP 28 Área Especial sem número - Setor Psul;;;Terracap;;;Processo Regularização 111.000.662/2006;;;200.000;;;0;;
;43;;;;;;NUBSB;;;Asa Sul;;;Avenida das Nações S/N;;;Próprio;;;Regularizado;;;116.469;;;0;
;44;;;;;;NUSOB;;;Sobradinho;;;A/E Indústria 3 LT 04/06;;;Próprio;;;Regularizado;;;30.000;;;0;
;45;;;;;;NUEST;;;SCIA;;;SCIA Q. 09 Cj. 01 Lote 02;;;Terracap;;;Cedido;;;3.800;;;0;
;;;;TOTAL;;;-;;;-;;;-;;;-;;;-;;;1.997.186;;;39.559;
