;Sede;;;Núcleo;;;RA;;;Endereço;;
;;;;;SEDE SLU;;;Brasília;;;SCS – QUADRA 08 – Bloco B50 – 6º Andar - Ed. Venâncio 2000;
1;DL NORTE;;;;NUPAR;;;Paranoá/Itapoã;;;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";
2;;;;;NUPLA;;;Planaltina;;;A/E Norte LT. 11/12;
3;;;;;NUSEB;;;São Sebastião;;;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;
4;;;;;NUSOB;;;Sobradinho;;;A/E Indústria 3 LT 04/06;
5;;;;;NUSOB;;Sobradinho II;;;A/E Indústria 3 LT 04/06;;
;;;;;II*;;;;;;;
6;DL SUL;;;;NUCLA;;;Águas Claras;;;Parque do Areal - Areal;
7;;;;;NUOPE;;;Asa Sul;;;Avenida das Nações S/N;
8;;;;;NUBRAZ;;;Brazlândia;;;Área Especial nº 02 Norte;
9;;;;;NUCEI;;;Ceilândia;;;QNN 29 módulo G a K Área Especial;
10;;;;;NUEST;;;Cidade Estrutural;;;AE. Quadra 15, Conj. C1 Aterro Sanitário;
11;;;;;NUTAG;;;Taguatinga;;;QNG 47 Área Especial 09;
12;DL LESTE;;;;NUGAM;;;Gama;;;AV. Contorno A/E 2 Setor Norte;
13;;;;;NUEMA;;;Recanto das Emas;;;Avenida Vargem da Benção, Chácara nº 03;
14;;;;;NURIF;;;Riacho Fundo I;;;QN. 09, Área Especial 03, Lote 06 - Administração do Riacho Fundo;
15;;;;;NUSAM;;;Samambaia;;;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;
16;;;;;NUMAR;;;Santa Maria;;;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";
17;DL OESTE;;;;NUNOR;;;Asa Norte;;;SGAN. Q. 05 Lote 23;
18;;;;;NUSUL;;;Asa Sul;;;Avenida das Nações S/N;
19;;;;;NUCRU;;;Cruzeiro;;;"Área Especial ""H"" - Lote 28 - Administração Cruzeiro Velho";
20;;;;;NUGUA;;;Guará;;;Área Especial do CAVE - Administração do Guará;
21;;;;;NUBAN;;;Núcleo Bandeirante;;;Praça Padre Roque, 3ª Avenida, Projeção 2;
