;PESO E VALOR DE COMERCIALIZAÇÃO DAS COOPERATIVAS COM CONTRATO DE TRIAGEM;;;;;;;;;;;;;
Mês;;;Peso (Toneladas);;;;Soma de Total pago;;Soma de Total Comercializado (R$);;;Soma de Receita Total (R$);;
;;;;;;;pelo SLU - Pago pelo;;;;;;;
;;;;;;;contrato (R$);;;;;;;
;Janeiro;;3.148,50;;;R$ 916.235,05;;;R$ 2.744.039,02;;;R$ 3.660.274,08;;
;Fevereiro;;3.013,79;;;R$ 877.433,31;;;R$ 2.314.466,00;;;R$ 3.191.899,31;;
;Março;;3.190,03;;;R$ 926.912,35;;;R$ 2.551.583,45;;;R$ 3.478.495,80;;
;Abril;;3.183,45;;;R$ 933.594,99;;;R$ 2.637.246,20;;;R$ 3.570.841,19;;
;Maio;;3.303,92;;;R$ 967.478,20;;;R$ 2.575.613,06;;;R$ 3.543.091,25;;
;Junho;;3.401,72;;;R$ 996.584,98;;;R$ 2.409.313,89;;;R$ 3.405.898,87;;
;Julho;;3.170,54;;;R$ 1.191.333,78;;;R$ 2.130.857,73;;;R$ 3.322.191,51;;
;Agosto;;3.422,86;;;R$ 1.283.788,32;;;R$ 2.036.433,92;;;R$ 3.320.222,24;;
;Setembro;;3.459,25;;;R$ 1.298.685,84;;;R$ 1.972.152,75;;;R$ 3.270.838,59;;
;Outubro;;3.411,75;;;R$ 1.279.906,98;;;R$ 2.002.995,58;;;R$ 3.282.902,56;;
;Novembro;;3.520,65;;;R$ 1.322.831,46;;;R$ 2.099.794,24;;;R$ 3.422.625,71;;
;Dezembro;;3.492,28;;;R$ 1.316.102,93;;;R$ 2.051.282,09;;;R$ 3.367.385,01;;
;Total;;;39.718,74;;;R$ 13.310.888,18;;;R$ 27.525.777,94;;;R$ 40.836.666,12;
