;APROVEITAMENTO DA COLETA SELETIVA POR COOPERATIVA NAS RAS – 2022;;;;;;;
Associação/Cooperativa;;;Região Administrativa;Renda;Massa Coletada (Ton);Rejeito (Ton);Aproveitamento;
;Acobraz;;Brazlândia;Média baixa;129,00;7,86;94%;
;Construir;;Vicente Pires;Média;145,56;27,53;81%;
;Cooperdife;;Sobradinho II e Fercal;Média;769,60;118,78;85%;
;Coopere;;Riacho fundo I e II;Média baixa;398,00;51,73;87%;
;Coopernoes;;SCIA/Estrutural;Baixa;106,19;21,87;79%;
;Cortrap;;Jardim Botânico I;Alta;145,95;5,85;96%;
;CRB;;Brazlândia;Média baixa;268,53;4,82;98%;
;CRV;;Lago Norte e Varjão;Alta;752,13;77,60;90%;
;CTELS;;Arniqueira;Média Alta;87,43;26,37;70%;
;Ecolimpo;;São Sebastião;Média baixa;301,17;53,01;82%;
;Flor do Cerrado;;Planaltina II;Média baixa;155,18;29,97;81%;
;Nova Superação;;SIA;Média Alta;80,34;10,26;87%;
;Planalto;;Sobradinho II e Fercal;Média;100,38;11,81;88%;
;Plasferro;;Jardim Botânico III;Alta;184,67;13,59;93%;
;R3;;Santa Maria;Média baixa;679,37;122,14;82%;
;Recicla Brasília;;Lago Sul;Alta;555,14;12,81;98%;
