Nº;SEDE;NÚCLEO;RA;ENDEREÇO;PROPRIEDADE;SITUAÇÃO;ÁREA TOTAL;ÁREA CONSTRUÍDA
;;;;;;;M²;M²
28;Papa-Entulhos;NUTAG;Taguatinga;Setor G Norte QNG AE 9;Próprio;Próprio;1.000;44
29;;NUCEI;Ceilândia;Setor N QNN 29 AE G/K;Próprio;Próprio;1.000;44
30;;NUTRA;Brazlândia;Setor Norte AE 2N Lt M;Próprio;Próprio;1.000;44
31;;NUGAM;Gama;Av. Contorno Norte Lt 2;Próprio;Próprio;1.000;44
32;;NUPLA;Planaltina;Setor de Áreas Especiais Norte AE 11;Próprio;Próprio;1.000;44
33;;NUGUA;Guará;SRIA II QE 25 AE 1 CAVE;Administração Regional do Guara;Cedido;1.000;44
34;;NUCEI;Ceilândia;QNP 28 área especial sem número - Setor Psul;Terracap;Processo Regularização 111.000.662/2006;1.000;44
35;;NUCEI;Ceilândia;QNN 13 Área Especial Módulo B;Administração Regional da Ceilândia;Cedido;1.000;0
36;;NUBRAZ;Brazlândia;Quadra 33 Área Especial nº. 3 Vila São José;Terracap;Cedido;1.000;0
;Subtotal;-;-;-;-;-;9.000;308
