;BRITADOS PRODUZIDOS NA RECICLAGEM DO RCC (TONELADAS);;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/areia;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;Rachão;;;Total;
;Janeiro;;4.879,13;;;-;;2.585,70;;;2.343,88;;;2.990,51;;1.020,11;;;13.819,33;
;Fevereiro;;6.691,50;;;-;;1.948,86;;;2.403,88;;;2.793,50;;789,41;;;14.627,15;
;Março;;9.216,51;;;-;;2.981,13;;;2.659,00;;;3.915,83;;1.154,14;;;19.926,61;
;Abril;;11.185,04;;;-;;2.545,31;;;2.608,95;;;4.145,64;;543,18;;;21.028,12;
;Maio;;15.433,64;;;-;;1.964,41;;;2.439,20;;;4.521,39;;-;;;24.358,64;
;Junho;;15.181,95;;;-;;1.964,08;;;2.389,72;;;4.436,69;;68,32;;;24.040,76;
;Julho;;16.913,02;;;-;;2.164,68;;;2.871,65;;;4.345,32;;-;;;26.294,67;
;Agosto;;13.139,20;;;-;;1.415,05;;;2.069,64;;;3.416,06;;-;;;20.039,95;
;Setembro;;14.043,44;;;-;;1.655,57;;;1.985,51;;;3.605,12;;-;;;21.289,64;
;Outubro;;11.553,20;;;-;;2.331,66;;;2.216,07;;;3.496,20;;197,08;;;19.794,21;
;Novembro;;5.314,70;;;-;;2.524,19;;;2.035,24;;;3.133,54;;522,28;;;13.529,95;
;Dezembro;;7.019,65;;;-;;2.127,75;;;1.875,64;;;3.119,56;;513,70;;;14.656,30;
;TOTAL;;;130.570,98;;-;;;26.208,39;;;27.898,38;;;43.919,36;4.808,22;;;233.405,33;
