6;Coopativa;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/DF;05.247.950/0001-39;22;SIA;Edson/ José Avelar;98246-9563/ 99157-5999;coopativabrasilia@gmail.com
7;Cooperlimpo 1;L4 Sul, AE - UTL - USINA Asa Sul - Brasília/DF;20.646.087/0001-86;60;Asa Sul;Mesac;99634-1736;cooperativacooperlimpodobrasil@ gmail.com
8;Cooperlimpo 2;SCIA Quadra 9, conj. 01, lote 02 - Brasília/DF;20.646.087/0001-86;56;SCIA;Mesac;99634-1736;cooperativacooperlimpodobrasil@ gmail.com
9;Coopernoes;Centro Integrado de Resíduos - Pátio Ferroviário - Brasília/DF;20.646.087/0001-86;51;SCIA;Alan;9 9128-9197;reciclagemcoopernoes@gmail.com
10;Coorace;Centro Integrado de Resíduos - Pátio Ferroviário - Brasília/DF;10.726.502/0001-58;21;SCIA;Lúcia;8559-1318;presid.lucia.coorace@gmail.com
11;Cortrap;SCIA Quadra 9, conj. 01, lote 02 - Brasília/DF;04.091.544/0001-67;55;SCIA;Janilson;99652-7783;cooperativacortrap012018@gmail .com
12;Plasferro;QNP 28 AE - IRR - Ceilândia/DF;10.746.644/0001-87;85;Ceilândia;Mara;98629-1230;plasferro@gmail.com
13;Renove;L4 Sul, AE - UTL - USINA Asa Sul - Brasília/DF;21.097.307/0001-22;92;Asa Sul;Eva;99238-4128;cooperativarenove2019@gmail.com
14;Cootraempocap - ASAS;SCIA Quadra 10, Conjunto 01 Lotes 2 e 3 - Brasília - DF e SAAN QUADRA 2, LOTE 650;11.759.113/0001-91;92;SCIA;Luzia;99955-9567;luziaborges56@gmail.com
TOTAL;;;;924;;;;
