Infraestrutura;N18;Câmeras para leitura de QR code;x;;;
Infraestrutura;N19;Software de Virtualização;;;x;
Infraestrutura;N20;Atualizar parque computacional;;;x;
Software;N21;Licença software AutoCad, Volare, Microsoft, photoshop, In design, Illustrator, CorelDraw e software de edição de vídeos;;;x;
Infraestrutura;N22;Contratação de empresa especializada na prestação de suporte técnico para o SLU;;;;x
Sistema;N23;Solução de BI para o SLU;x;;;
Capacitação;N24;Capacitação de servidores;;x;;
Infraestrutura;N25;Aquisição de Video Wall para o monitoramento;x;;;
Infraestrutura;N26;Melhoria do contrato de telefonia do SLU incluindo serviço de VOIP;;;;x
Infraestrutura;N27;Solução de CFTV;x;;;
Infraestrutura;N28;TV Monitor LED;x;;;
Infraestrutura;N29;Aquisição de tablets;;;;x
Infraestrutura;N30;Adquirir mesa digitalizadora para desenho com caneta sensível à pressão e digitalizador de mão para criação de pdf;;x;;
NECESSIDADES IDENTIFICADAS: 30;;;;;;
Atendidas:;;19;;;;
Sem previsão:;;2;;;;
Licitar em breve:;;5;;;;
Projeto pronto:;;4;;;;
