;PESO LÍQUIDO POR MÊS (EM TONELADAS);;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;;Remoção PEV;;Outros;;;Total;
;Janeiro;;1.757,05;;;41.001,66;;;1.950,11;62.504,73;;;107.213,55;;
;Fevereiro;;1.784,56;;;43.524,55;;;1.908,92;59.965,88;;;107.183,91;;
;Março;;1.882,36;;;46.233,75;;;2.123,30;64.419,38;;;114.658,79;;
;Abril;;1.467,75;;;44.829,47;;;2.070,69;53.023,78;;;101.391,69;;
;Maio;;1.430,11;;;54.488,42;;;2.132,27;74.060,93;;;132.111,73;;
;Junho;;1.530,85;;;54.305,73;;;2.143,87;88.082,19;;;146.062,64;;
;Julho;;1.534,94;;;52.210,33;;;2.325,86;88.826,58;;;144.897,71;;
;Agosto;;1.636,33;;;52.320,89;;;2.403,56;84.269,30;;;140.630,08;;
;Setembro;;1.542,37;;;49.537,56;;;2.237,58;69.787,62;;;123.105,13;;
Outubro;;;1.595,73;;;47.392,28;;;2.159,19;84.195,07;;;135.342,27;;
Novembro;;;1.604,05;;;45.580,43;;;2.180,28;67.619,00;;;116.983,76;;
Dezembro;;;1.854,81;;;53.547,56;;;1.979,94;58.880,94;;;116.263,25;;
;Dezembro;;;;;;;;;;;;;;
;TOTAL;;;19.620,91;;;584.972,63;;25.615,57;;855.635,40;;;1.485.844,51;
