5;Cooperdife;4;45;49;Sobradinho I;Gilmar;9278-1983
6;Coopere;4;69;73;Riacho Fundo I e Riacho Fundo II;José Salustiano;8169-4584
7;Recicla Brasília;4;33;37;Lago Sul;Roque;9917-2501
SUBTOTAL;;28;264;292;;;
Cooperativas/Associações de catadores com contratos só de triagem;;;;;;;
N°;Nome;N° de Catadores;;Total de catadores;RA da prestação do Serviço;Presidente/ Responsável;Contato
;;Coleta Seletiva;Triagem (c/contrato);;;;
1;Coorace;;73;73;SIA;Lúcia;8559-1318
2;Plasferro;;59;59;Ceilândia;Mara;98629-1230
3;Coopernoes;;32;32;SIA;Alex;98549-9245
4;Ambiente/ Coopercap;;265;265;Ceilândia SAAN;Cláudia/ Nelinho;8177-2723/ 8208-0706
5;Cooperlimpo;;11;11;Asa Sul;Mesac;99634-1736
6;Cortrap;;46;46;SCIA;Janilson;99652-7783
7;Construir;;84;84;SCIA;Zilda;99844-5635
8;Cataguar;;74;74;Ceilândia;Graça;99229-6594
9;Coopativa;;27;27;SIA;Edson/ José Avelar;98246-9563/ 99157-5999
10;Renove;;119;119;Asa Sul;Eva;99238-4128
11;APCORC*;;115;115;Ceilândia;Renato;99361-7932
SUBTOTAL;;;905;905;;;
TOTAL DE CATADORES;;44;1210;1.254;;;
Obs.: O número de catadores contratados considera somente os catadores que estão dentro dos contratos, ou seja, nas organizações que mantêm com o SLU o contrato de coleta seletiva, são somados os coletores e organizadores apenas, no de triagem todo o grupo é considerado.;;;;;;;
