;;;;;;;;;;Data de;;;Data de;;;;;;;;;Valor Global;
;Nº;;;Empresa;;;Objeto;;;;;;;;;Informações;;;Contrato;;;;
;;;;;;;;;;Assinatura;;;Término;;;;;;;;;(R$);
1;;;OI;;;Telefonia fixa;;;18/09/2014;;;17/03/2015;;;Dispensa de Licitação Emergencial;;;094.000707/2014;;;75.787;;
2;;;Agência Plá;;;Serviços de Publicidade;;;20/05/2014;;;20/05/2015;;;Concorrência 01/2013;;;094.000385/2014 1º Aditivo;;;1.661.430;;
3;;;OI;;;Serviços contínuos de chamadas telefônicas;;;19/04/2013 17/04/2014;;;- 18/04/2015;;;Pregão Eletrônico 535/2012;;;094.001.624/2011 1º Aditivo;;;8.070;;
4;;;GESTEMAQ;;;Manutenção de Ar Condicionado;;;26/04/2014 25/04/2014;;;26/04/2014 25/04/2015;;;Pregão Presencial 04/2013;;;094.000.814/2011 1º Aditivo;;;138.785;;
5;;;ECT;;;Produtos dos Correios;;;27/05/2014;;;27/05/2015;;;Dispensa de Licitação;;;094.000.420/2014 1º Aditivo;;;18.000;;
6;;;TECNOSET;;;Serviço de impressão, cópia de digitalização;;;01/07/2013 01/07/2014;;;01/07/2014 01/07/2015;;;Pregão Eletrônico 66/2012 – Adesão à Ata;;;094.001.438/2012 1º Aditivo;;;302.124;;
7;;;A Telecom;;;Manutenção Preventiva e corretiva da Central Telefônica;;;28/07/2011 29/07/2012 05/09/2012 28/07/2013 22/08/2013 28/07/2014;;;28/07/2012 28/07/2013 - 27/07/2014 - 28/07/2015;;;Pregão Presencial 21/2011;;;094.001.682/2010 1º Aditivo 2º Aditivo 3º Aditivo 4º Aditivo 5º Aditivo;;;163.308;;
8;;;Puríssima Água;;;Fornecimento de água mineral;;;12/08/2014;;;12/08/2015;;;Pregão Presencial 07/2014;;;094.000.492/2014;;;21.840;;
9;;;Comercial Araújo;;;30 Bebedouros;;;17/07/2014;;;17/08/2015;;;Pregão Presencial 04/2014;;;094.00.084/2013;;;55.900;;
10;;;Clipping e Softwares;;;Serviço de Leitura dos Diários de Justiça;;;31/08/2012 31/08/2013 31/08/2014 07/10/2014;;;31/08/2013 30/08/2014 31/08/2015 -;;;Dispensa de Licitação;;;094.001.014/2012 1º Aditivo 2º Aditivo 3º Aditivo;;;1.612;;
11;;;P&P Turismo;;;Agenciamento de Viagens;;;09/09/2014;;;09/09/2015;;;Pregão Eletrônico 104/2014;;;094.000.470/2014;;;50.000;;
