;FORÇA DE TRABALHO;;;;;;;;;;;;;;;;;
SERVIDORES;;;;;ATIVIDADE - MEIO;;;;;;ATIVIDADE - FIM;;;;;TOTAL;;
;;;;;COM CARGO EM;;;SEM CARGO EM;;;COM CARGO EM;;;SEM CARGO EM;;;;
;;;;;COMISSÃO;;;COMISSÃO;;;COMISSÃO;;;COMISSÃO;;;;
Efetivos (Quadro do GDF);;;;32;;;69;;;37;;;674;;;812;;
Comissionados (Sem vínculo efetivo);;;;65;;;0;;;16;;;0;;;81;;
REQUISITADOS;;Órgãos do GDF;;17;;;0;;;1;;;0;;;18;;
;;Órgãos Estaduais;;0;;;0;;;0;;;0;;;0;;
;;Órgãos do Governo Federal;;0;;;0;;;0;;;0;;;0;;
OUTROS;;Junta de Controle;;0;;;0;;;0;;;0;;;0;;
;;Menor Aprendiz/Jovem Candango;;0;;;9;;;0;;;22;;;31;;
;;Estagiários;;0;;;26;;;0;;;6;;;32;;
;;Terceirizados (FUNAP);;0;;;6;;;0;;;0;;;6;;
;;Terceirizados (Comissão Jovem);;0;;;50;;;0;;;5;;;55;;
;Subtotal (Força de Trabalho);;;;114;;;167;;;54;;;707;;;1.035;
;(-) Cedidos para outros órgãos;;;;0;;;0;;;0;;;207;;;207;
TOTAL SLU;;;;114;;;167;;;54;;;500;;;828;;
