5;GESUL;NUEST;Cidade Estrutural;AE. Quadra 15, Conj. C1;TERRACAP;Processo Regularização 00111- 00016598/2017-01;7.200;766
6;;NUTAG;Taguatinga;QNG 47 Área Especial 09 Taguatinga;Próprio;Regularizado;7.200;306
7;;NUPLA;Planaltina;A/E Norte LT. 11/12;Próprio;Regularizado;10.789;263
8;;NUSOB;Sobradinho;A/E Indústria 3 LT 04/06;Próprio;Regularizado;30.000;721
9;GEOES;GELES;São Sebastião;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;TERRACAP;Processo Regularização 094.000943/2011;-;-
10;;NUGUA;Guará;Área Especial do CAVE- Adm. Regional do Guará;Administração Regional do Guará;Empréstimo;-;-
11;;NUBAN;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2;Administração Regional do Núcleo Bandeirante;Empréstimo;-;-
12;;NUPAR;Paranoá/ Itapoã;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";TERRACAP;Cedido;4.105;-
13;;NUBSB;Asa Sul;Avenida das Nações S/N;Próprio;Regularizado;116.469;9.737
14;GELES;NUGAM;Gama;AV. Contorno A/E 2 Setor Norte -Gama;Próprio;Regularizado;80.000;-
15;;NURIF;Riacho Fundo I;QN. 09, Área Especial 03, Lote 06 – Adm. Riacho Fundo;Administração Regional do Riacho Fundo I;Empréstimo;-;-
16;;NUSAM;Samambaia;Área Especial, s/nº QS 302 - Centro Urbano - Samambaia Sul;Administração Regional de Samambaia;Empréstimo;-;-
17;;NUMAR;Santa Maria;"CL 408, Bloco ""A"" Área Especial - Santa Maria Sul";Administração Regional de Santa Maria;Empréstimo;-;-
