COOPERATIVAS CONTRATADAS PELO SLU;;;;;;;;;;;;;;;;;
Cooperativas/Associações com contratos só de coleta seletiva;;;;;;;;;;;;;;;;;
N°;Nome;Endereço da Cooperativa/ Associação;CNPJ;;N° de Catadores;;;;Total de catadores;;RA da prestação do Serviço;Presidente/ Responsável;;Contato;;E-mail;
;;;;;Coleta Seletiva;;Triagem (sem contrato);;;;;;;;;;
1;CRV;Quadra 02, Conj. B, Área Especial - Varjão/DF;10.340.277/0001-17;;9;;18;;27;;Lago Norte e Varjão;Ana Carla;;9280-5328;;crv.recicle@gmail.com;
2;Ecolimpo;ADE Cpnj. O I Lote 09 B. Bom Sucesso -São Sebastião/DF;19.289.264/0001-35;;7;;9;;16;;São Sebastião;Santana;;8573-0401;;cooperativaecolimpodf@gmail.com;
3;Vencendo Obstáculos;Quadra 05 Lote 06 Setor de Oficinas Cidade Estrutural;27.993.314/0001-99;;6;;7;;13;;Cruzeiro e Grandes Geradores;Lúcia;;8559-1319;;obstaculosvencendo@gmail.com;
4;R3;QR 17 S/N Galpão Área Especial – Santa Maria / DF;22.889.465/0001-88;;6;;12;;18;;Santa Maria;Vilany;;9180-5497;;r3cooperativa@gmail.com;
;Subtotal;;;;28;;46;;74;;;;;;;;
Cooperativas/Associações com contratos de coleta seletiva e triagem;;;;;;;;;;;;;;;;;
N°;Nome;Endereço da Cooperativa/ Associação;;CNPJ;;N° de Catadores;;Total de catadores;;RA da prestação do Serviço;;;Presidente/ Responsável;;Contato;;E-mail
;;;;;;Coleta Seletiva;Triagem;;;;;;;;;;
1;Recicla Mais Brasil;Quadra 05, Conjunto O, Lotes 1 e 2 -Paranoá/DF;;19.491.165/0001-31;;7;25;32;;Paranoá e Itapoã;;;Cristiane;;9575-3378;;reciclamaisbrasildf@gmail.com
2;Recicle a Vida;QNM 28 Módulo B, AE – Ceilândia. Brasília/DF;;07.887.773/0001-80;;4;51;55;;Samambaia;;;Cleusimar;;3373-1810;;cooperativa.recicle@gmail.com
3;Renascer;SIA. Trecho 17 Lote 1.660/1.700 - Brasília/DF;;16.604.221/0001-09;;8;23;31;;Candangolândia e Núcleo Bandeirante;;;Fátima;;98465-1039;;renascercooperativa.bsb@gmail.com
4;Acobraz;AE nº.: 02 Lotes I, J, K e L - Setor Norte - Brazlândia/DF.;;02.982.864/0001-81;;5;41;46;;Brazlândia;;;Marcone;;99857-3021;;acobraz34brazlandia@gmail.com
5;Cooperdife;AE para Indústria Lotes 3 a 6 - Núcleo de Limpeza do SLU - Sobradinho/DF;;10.664.038/0001-12;;7;41;48;;Sobradinho I;;;Gilmar;;9278-1983;;cooperdife.coop@gmail.com
