;PESO LÍQUIDO POR MÊS (TONELADAS);;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;;;Rachão;;;Total;
;Janeiro;;7.007,78;;;-;;;2.622,83;;;3.213,75;;;3.332,30;;;0,00;;;;16.176,66;
;Fevereiro;;8.642,38;;;-;;;2.210,86;;;2.873,33;;;3.603,99;;;0,00;;;;17.330,56;
;Março;;9.843,71;;;-;;;2.010,24;;;2.938,57;;;3.578,68;;;428,00;;;;18.799,20;
;Abril;;10.759,38;;;-;;;1.769,38;;;2.460,63;;;3.387,47;;;272,07;;;;18.648,93;
;Maio;;14.153,13;;;-;;;3.428,52;;;3.250,85;;;4.888,77;;;0,00;;;;25.721,27;
;Junho;;12.611,23;;;-;;;8.598,41;;;3.022,15;;;4.966,33;;;397,64;;;;29.595,76;
;Julho;;11.621,66;;;-;;;7.112,29;;;2.662,13;;;4.213,96;;;102,23;;;;25.712,27;
;Agosto;;11.141,26;;;-;;;7.494,62;;;2.680,15;;;4.370,47;;;0,00;;;;25.686,50;
;Setembro;;11.039,00;;;-;;;6.381,73;;;2.599,90;;;4.137,01;;;0,00;;;;24.157,64;
;Outubro;;9.286,31;;;-;;;6.577,47;;;2.512,70;;;4.130,54;;;0,00;;;;22.507,02;
;Novembro;;8.348,12;;;-;;;6.955,22;;;2.465,50;;;4.087,23;;;0,00;;;;21.856,07;
;Dezembro;;5.565,77;;;-;;;7.022,67;;;2.091,67;;;3.107,14;;;0,00;;;;17.787,25;
;TOTAL;;;120.019,73;;;-;;;62.184,24;;;32.771,33;;;47.803,89;;;1.199,94;;;263.979,13;
