;COOPERATIVAS/ASSOCIAÇÕES COM CONTRATOS APENAS DE COLETA SELETIVA;;;;;;;;;;;;;
Nº;;NOME;ENDEREÇO;CNPJ;;Nº DE CATADORES;;;;TOTAL DE CATADORES;RA DE PRESTAÇÃO DE SERVIÇO;PRESIDENTE/ RESPONSÁVEL;EMAIL;
;;;;;;Coleta;;Triagem;;;;;;
;;;;;;Seletiva;;;;;;;;
1;;CRB;AE nº.: 02 Lotes I, J, K e L – Setor Norte – Brazlândia/DF.;28.111.152/0001- 80;4;;;0;;4;Brazlândia;Marcone;contratosacobraz@gmail.com;
2;;CRV;Quadra 02, Conj. B, Área Especial – Varjão/DF;10.340.277/0001- 17;4;;;35;;39;Lago Norte e Varjão;Ana Carla;crv.recicle@gmail.com;
3;;CTELS;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;33.446.229/0001- 00;4;;;28;;32;Arniqueira;Sandra;ctelpssandra2018@gmail.com;
4;;Flor do Cerrado;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;19.779.233/0001- 62;4;;;6;;10;Planaltina;Osnailton;flordocerradocapital@gmail.com;
5;;Ecolimpo;ADE Cpnj. O I Lote 09 B. Bom Sucesso – São Sebastião/DF;19.289.264/0001- 35;4;;;08;;12;São Sebastião;Santana;cooperativaecolimpodf@gmail.com;
6;;Nova Superação;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;07.392.130/0001- 66;4;;;32;;36;SIA;Leda;cooperativareciclagemsuperacao@gmail.com;
