Curso;Sistema de Patrimônio Público (SPP);Egov;3
;Palestra: O Poder da Ação;;2
;Cerimonial e Protocolo de Eventos;;1
;Sustentabilidade na Administração Pública e na Coleta Seletiva Solidária;;2
;Governança Para Altos Executivos;;4
;Básico de informática – Excel;;2
;Gestão e fiscalização de contratos;;2
;Atendimento ao Público (1/2019) - Turma 1;;1
;Gestão e fiscalização de contratos – Turma 12;;1
;Capacitação e aperfeiçoamento no SIGRH – manutenção de cadastro - Turma 1;;1
;Defesa pessoal para mulheres - Turma 2;;1
;Libras Básico 1 - Turma 3;;2
;Programação Neurolinguística (PNL) - Turma 1;;1
;Curso a distância: Transparência, ética e controle social (5/2019);;1
;Metodologia de Análise e Solução de Problemas (1/2019) - Turma 1;;1
;Sustentabilidade na Administração Pública e Coleta Seletiva Solidária - Turma 3;;1
;I Fórum de Governança e Compliance do Governo do Distrito Federal - Turma 1;;2
;IV Seminário do GDF sobre dependência química e saúde mental - Turma 1;;1
;Processo Disciplinar;;4
;Curso a distância: Formação de formadores (5/2019) - Turma 5;;1
;Capacitação na ferramenta do SIGRHWEB – GFIP/SEFIP 8.4 - Turma 3;;2
;Curso a distância: Formação de formadores (6/2019) - Turma 6;;2
