;18;;Terreno;;NUALM/NUPAT;;;Brasília;;;Setor de Áreas Isoladas norte (SIA/NORTE);;;Próprio;;;Regularizado;;;50.000,00;;;4.150,00;
19;;;;Terreno;;;Núcleo Bandeirante;;;;Área Especial n° 06 do Setor Avenida Contorno;;Próprio;;;Regularizado;;;1.543,00;;;-;;
;;;;;;;;;;;do Núcleo Bandeirante-DF (Desocupado - 542;;;;;;;;;;;;;
;;;;;;;;;;;m2 cedidos à SECRIANÇA);;;;;;;;;;;;;
;20;;;;Terreno;;;Águas Claras;;;Lote 24, Avenida jacarandá;;;Próprio;;;Regularizado;;;6.931,00;;;-;
21;;;;Terreno;;;Gama;;;;Área Reservada n° 01 Setor Leste Gama –;;Próprio;;;Regularizado;;;4.800,00;;;-;;
;;;;;;;;;;;DISTRITO FEDERAL (Desocupado);;;;;;;;;;;;;
22;;;;Terreno;;;Samambaia;;;;QS 427, Área Especial Lote04, Expansão da;;-;;;Processo Regularização;;;7.726,75;;;-;;
;;;;;;;;;;;Samambaia (O terreno da Samambaia já foi;;;;;;;;;;;;;
;;;;;;;;;;;transferido da Secretária de obras para;;;;;;;;;;;;;
;;;;;;;;;;;Seduma);;;;;;;;;;;;;
23;;;Aterros;Aterro Sanitário de Brasília;;;Samambaia;;;DF 180 - Km 51,5;;;;Secretaria de;;Processo Regularização 0110- 000193/2016;;;760.000,00;;;1.537,00;;
;;;;;;;;;;;;;;Infraestrutural e Serviços;;;;;;;;;;
;;;;;;;;;;;;;;Públicos;;;;;;;;;;
24;;;USINAS;;Aterro Controlado do;;SCIA/Estrutural;;;AE. Quadra 15, Conj. C1;;;Terracap;;;;Processo Regularização 00111-;;123.710,00;;;1.058,00;;
;;;;;Jóquei;;;;;;;;;;;;00016598/2017-01;;;;;;;
25;;;;NUTRA;;;Brazlândia;;;;Quadra 33 Área Especial nº. 3 Vila São José;;Terracap;;;Regularizado;;;7.878,27;;;1.098,19;;
;;;;;;;;;;;Brazlândia;;;;;;;;;;;;;
26;;;;NUTRA;;;Ceilândia;;;QNP 28 área especial sem número - Setor Psul;;;Terracap;;;;Processo Regularização;;200.000,00;;;295,00;;
;;;;;;;;;;;;;;;;;111.000.662/2006;;;;;;;
;27;;;;NUTRA;;;Asa Sul;;;Avenida das Nações S/N;;;Próprio;;;Próprio;;;116.469,07;;;9.737,00;
;28;;Papa-Entulhos;;NUTAG;;;Taguatinga;;;Setor G Norte QNG AE 9;;;Próprio;;;Próprio;;;1.000,00;;;44,00;
;29;;;;NUCEI;;;Ceilândia;;;Setor N QNN 29 AE G/K;;;Próprio;;;Próprio;;;1.000,00;;;44,00;
;30;;;;NUTRA;;;Brazlândia;;;Setor Norte AE 2N Lt M;;;Próprio;;;Próprio;;;1.000,00;;;44,00;
;31;;;;NUGAM;;;Gama;;;Av Contorno Norte Lt 2;;;Próprio;;;Próprio;;;1.000,00;;;44,00;
;32;;;;NUPLA;;;Planaltina;;;Setor de Áreas Especiais Norte AE 11;;;Próprio;;;Próprio;;;1.000,00;;;44,00;
33;;;;NUGUA;;;Guará;;;SRIA II QE 25 AE 1 CAVE;;;;Administração regional do;;Cedido;;;1.000,00;;;44,00;;
;;;;;;;;;;;;;;Guara;;;;;;;;;;
34;;;;NUCEI;;;Ceilândia;;;QNP 28 área especial sem número - Setor Psul;;;Terracap;;;;Processo Regularização;;1.000,00;;;44,00;;
;;;;;;;;;;;;;;;;;111.000.662/2006;;;;;;;
35;;;;NUCEI;;;Ceilândia;;;QNN 13 Área Especial Módulo B;;;;Administração regional da;;Cedido;;;1.000,00;;;0,00;;
;;;;;;;;;;;;;;Ceilândia;;;;;;;;;;
36;;;;NURIF;;;Riacho Fundo I;;;QN 09 Área Especial 03 - Riacho Fundo I;;;;Administração Regional do;;Cedido;;;1.000,00;;;0,00;;
;;;;;;;;;;;;;;Riacho Fundo I;;;;;;;;;;
37;;;;NUTAG;;;Taguatinga;;;Setor D Sul - QSD Área Especial nº. 26;;;;Administração Regional de;;Cedido;;;1.000,00;;;0,00;;
;;;;;;;;;;;;;;Taguatinga;;;;;;;;;;
;38;;;;NUPAR;;;Paranoá;;;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";;;Terracap;;;Cedido;;;1.000,00;;;0,00;
;39;;;;NUSOB;;;Sobradinho I;;;Quadra 10 Área 01;;;SEDESTMIDTH;;;Cedido;;;2.800,00;;;0,00;
;40;;;;NUCLA;;;Águas Claras;;;Lote 24, Avenida jacarandá;;;Próprio;;;Regularizado;;;1.000,00;;;0,00;
41;;;;NUBAN;;;Núcleo Bandeirante;;;;;;;Secretaria do Patrimônio;;Cedido;;;;;;0,00;;
;;;;;;;;;;;;;;da União;;;;;;;;;;
42;;;;NUEST;;;Estrutural;;;AE. Quadra 15, Conj. C1;;;Terracap;;;;Processo Regularização 00111-;;;;;0,00;;
;;;;;;;;;;;;;;;;;00016598/2017-01;;;;;;;
43;;;;NUSOB;;;Sobradinho I;;;;;;;Administração Regional de;;Processo de Regularização;;;1.000,00;;;0,00;;
;;;;;;;;;;;;;;Sobradinho I;;;;;;;;;;
