Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
13;57/2018;SUSTENTARE SANEAMENTO S/A;17/10/2018;EMERGENCIAL LOTE 1;15/04/2019;GLOBAL R$ 85.707.477,36;DEUSIMAR CARLOS PINTO/ FRANCISCO ARI JÚNIOR COSTTA PEREIRA/ VALDEMIR INÁCIO ATAÍDE/ JOAQUINA FONSECA DA SILVA/ WANDERLEI ANTÔNIO DA SILVA;VENCIDO
14;58/2018;VALOR AMBIENTAL LTDA;17/10/2018;EMERGENCIAL LOTE 3;15/04/2019;GLOBAL R$ 44.686.419,12;FRANCISCO ALVES MORAIS/ GILBERTO FERREIRA DA SILVA/ JOAQUINA CORREIA LACERDA PRIMA/ DORALICE CARVALHO R. DA CRUZ/ ESTER DE SOUZA REIS;VENCIDO
15;59/2018;SUSTENTARE SANEAMENTO S/A;17/10/2018;EMERGENCIAL USINA ASA SUL;15/04/2019;GLOBAL R$ 3.123.900,00;AILTON OLIVEIRA ROCHA/ LUCAS DE SOUZA SILVA ENTREPORTES/ JOSÉ ROMILDO DOS SANTOS/ JOSÉ NILTON A. DA SILVA;VENCIDO
16;65/2018;BELFORT GERENCIAMENTO DE RESÍDUOS LTDA EPP;12/12/2018;COLETA DE RESÍDUOS DE SAÚDE, EMERGENCIAL;10/06/2019;GLOBAL: R$ 3.074.699,92;ANTÔNIO ALVES MACHADO/ MARCOS JOSÉ PEREIRA DE OLIVEIRA/ MARIA ANGÉLICA FERREIRA AMORIM/ MANOEL MESSIAS FRANCISCO DE SOUZA/ JOSIVAN GRIGÓRIO DE SOUZA;VENCIDO
17;66/2018;SUSTENTARE SANEAMENTO S/A;14/12/2018;COLETA CONVENCIONAL, EMERGENCIAL LOTE IV;11/06/2019;GLOBAL: R$ 4.132.533,84;DEUSIMAR CARLOS PINTO/ CARLOS HENRIQUE SILVA/ JOÃO EUDES DOS SANTOS/ VALDEMIR INÁCIO ATAÍDE/ RAÍSSA MARIA COMETA MOTA MORUZZI;VENCIDO
18;09/2019;SUSTENTARE SANEAMENTO S/A;16/04/2019;EMERGENCIAL - SERVIÇO DE COLETA - LOTE I;12/10/2019;GLOBAL: R$ 86.114.370,48;DEUSIMAR CARLOS PINTO/ VALDEMIR INÁCIO ATAÍDE/ WANDERLEI ANTÔNIO DA SILVA/ FRANCISCO ARI JUNIOR COSTA PEREIRA/ JOAQUINA FONSECA DA SILVA;VENCIDO
19;10/2019;VALOR AMBIENTAL LTDA;16/04/2019;EMERGENCIAL - SERVIÇO DE COLETA - LOTE III;12/10/2019;GLOBAL: R$ 42.821.566,36;FRANCISCO ALVES MORAIS/ JOAQUINA CORREIA LACERDA PRIMA/ DORALICE CARVALHO R. DA CRUZ/ ESTER DE SOUZA REIS;VENCIDO
20;11/2019;SUSTENTARE SANEAMENTO S/A;16/04/2019;EMERGENCIAL DA OPERAÇÃO A MANUTENÇÃO DA USINA DA ASA SUL;12/10/2019;GLOBAL: R$ 3.145.428,00;AILTON OLIVEIRA ROCHA/ JOSÉ ROMILDO DOS SANTOS/ JOSÉ NILTON A. DA SILVA/ FERNANDA FERREIRA DE SOUSA;VENCIDO
21;16/2019;SUSTENTARE SANEAMENTO S/A;12/06/2019;EMERGENCIAL DE SERVIÇOS DE COLETA - LOTE IV;09/12/2019;GLOBAL: R$ 4.102.126,08;DEUSIMAR CARLOS PINTO/ CARLOS HENRIQUE SILVA/ ALDEMIR FERREIRA TAVARES/ VALDEMIR INÁCIO ATAÍDE/ E RAISSA MARIA COMETA MOTA MORUZZI;VENCIDO
22;15/2019;BELFORT GERENCIAMENTO DE RESÍDUOS LTDA - EPP;11/06/2019;EMERGENCIAL DE SERVIÇOS DE COLETA DO RSS;04/10/2019;GLOBAL: R$ 1.741.579,10;ALAN NUNES DA SILVA/ ANTÔNIO ALVES MACHADO/ MANOEL MESSIAS FRANCISCO SOUZA/ JOSIVAN GRIGÓRIO DE SOUZA/ MARIA ANGÉLICA FERREIRA DE AMORIM;VENCIDO
