44;;;;NUPLA;;;Planaltina;;;;;;;Secretaria do Patrimônio;;Cedido;;;;;;0,00;;
;;;;;;;;;;;;;;da União;;;;;;;;;;
45;;;;NUSEB;;;São Sebastião;;;;Quadra 305, Conj. 14 Lote 02, Bairro;;Terracap;;;;Processo Regularização;;;;;0,00;;
;;;;;;;;;;;Residencial Oeste;;;;;;094.000943/2011;;;;;;;
;46;;;;NUBRAZ;;;Brazlândia;;;Quadra 33 Área Especial nº. 3 Vila São José;;;Terracap;;;Cedido;;;1.000,00;;;0,00;
;47;;Instalações de Recuperação de Resíduos - IRRs;;NUGUA;;;SIA;;;SIA Trecho 17 VIA IA04 LOTE 1.400;;;Particular;;;Alugado;;;1.683,27;;;2.046,56;
;48;;;;NUGUA;;;SIA;;;SIA Trecho 17 RUA 8 LOTE 105;;;Particular;;;Alugado;;;24.000,00;;;1.194,05;
;49;;;;NUEST;;;SCIA;;;SCIA Quadra 10 Conjunto 01 LOTES 02 E 03;;;Particular;;;Alugado;;;1.206,00;;;2.412,00;
;50;;;;NUBSB;;;SAAN;;;SAAN Quadra 02 LOTE 650;;;Particular;;;Alugado;;;2.800,00;;;3.000,00;
;51;;;;NUCEI;;;Ceilândia;;;SMC Quadra 08, LOTES 4,5,6 e 7;;;Particular;;;Alugado;;;2.000,00;;;4.386,00;
;52;;;;NUPAR;;;Paranoá;;;"Quadra 05 Área Especial ""D"" Lotes 01 e 02";;;Terracap;;;Cedido;;;17.210,70;;;0,00;
;53;;;;NUBRAZ;;;Brazlândia;;;Quadra 33 Área Especial nº. 3 Vila São José;;;Terracap;;;Cedido;;;7.878,27;;;0,00;
54;;;;NUCEI;;;Ceilândia;;;QNP 28 Área Especial sem número - Setor Psul;;;Terracap;;;;Processo Regularização;;200.000,00;;;0,00;;
;;;;;;;;;;;;;;;;;111.000.662/2006;;;;;;;
;55;;;;NUBSB;;;Asa Sul;;;Avenida das Nações S/N;;;Próprio;;;Regularizado;;;116.469,07;;;0,00;
;56;;;;NUSOB;;;Sobradinho;;;A/E Indústria 3 LT 04/06;;;Próprio;;;Regularizado;;;30.000,00;;;0,00;
;57;;;;NUGUA;;;SIA;;;S.I.A Trecho 17 rua 4 lt 1660/1700;;;Terracap;;;Cedido;;;;;;0,00;
;58;;;;NUEST;;;SCIA;;;SCIA Q. 09 Cj. 01 Lote 02;;;Terracap;;;Cedido;;;3.800,00;;;0,00;
TOTAL;;;;;;;;;;;;;;;;;;;2.008.668;;;45.992;;
