18;;;Terreno;NUALM/NUPAT;;;Brasília;;;;Setor de Áreas Isoladas norte;;Próprio;;;Regularizado;;;50.000;;;4.150;;
;;;;;;;;;;;(SIA/NORTE);;;;;;;;;;;;;
19;;;;Terreno;;;Núcleo Bandeirante;;;;Área Especial n° 06 do Setor;;Próprio;;;Regularizado;;;1.543;;;-;;
;;;;;;;;;;;Avenida Contorno do Núcleo;;;;;;;;;;;;;
;;;;;;;;;;;Bandeirante-DF (Desocupado -;;;;;;;;;;;;;
;;;;;;;;;;;542 m2 cedidos à SECRIANÇA);;;;;;;;;;;;;
;20;;;;Terreno;;;Águas Claras;;;Lote 24, Avenida jacarandá;;;Próprio;;;Regularizado;;;6.931;;;-;
21;;;;Terreno;;;Gama;;;;Área Reservada n° 01 Setor Leste;;Próprio;;;Regularizado;;;4.800;;;-;;
;;;;;;;;;;;Gama – DISTRITO FEDERAL;;;;;;;;;;;;;
;;;;;;;;;;;(Desocupado);;;;;;;;;;;;;
22;;;;Terreno;;;Samambaia;;;;QS 427, Área Especial Lote04,;;-;;;Processo Regularização;;;7.727;;;-;;
;;;;;;;;;;;Expansão da Samambaia (O;;;;;;;;;;;;;
;;;;;;;;;;;terreno da Samambaia já foi;;;;;;;;;;;;;
;;;;;;;;;;;transferido da Secretaria de obras;;;;;;;;;;;;;
;;;;;;;;;;;para Seduma);;;;;;;;;;;;;
23;;;Aterros;Aterro Sanitário de Brasília;;;Samambaia;;;DF 180 - Km 51,5;;;Secretaria de Infraestrutura e Serviços Públicos;;;Processo Regularização 0110-000193/2016;;;760.000;;;1.537;;
24;;;;Aterro Controlado do Jóquei;;;SCIA/Estrutural;;;AE. Quadra 15, Conj. C1;;;Terracap;;;Processo Regularização 00111-00016598/2017- 01;;;123.710;;;1.058;;
25;;;USINAS;NUTRA;;;Brazlândia;;;;Quadra 33 Área Especial nº. 3 Vila;;Terracap;;;Regularizado;;;7.878;;;1.098;;
;;;;;;;;;;;São José Brazlândia;;;;;;;;;;;;;
26;;;;NUTRA;;;Ceilândia;;;QNP 28 - Área especial sem número - Setor Psul;;;Terracap;;;Processo Regularização 111.000.662/2006;;;200.000;;;295;;
;27;;;;NUTRA;;;Asa Sul;;;Avenida das Nações S/N;;;Próprio;;;Próprio;;;116.469;;;9.737;
28;;;Papa-Entulhos;NUTAG;;;Taguatinga;;;Setor G Norte QNG AE 9;;;Próprio;;;Próprio;;;1.000;;;44;;
29;;;;NUCEI;;;Ceilândia;;;Setor N QNN 29 AE G/K;;;Próprio;;;Próprio;;;1.000;;;44;;
30;;;;NUTRA;;;Brazlândia;;;Setor Norte AE 2N Lt M;;;Próprio;;;Próprio;;;1.000;;;44;;
31;;;;NUGAM;;;Gama;;;Av. Contorno Norte Lt 2;;;Próprio;;;Próprio;;;1.000;;;44;;
