4;;Flor do Cerrado;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;19.779.233/0001- 62;;4;;;6;;;10;;;Planaltina;Osnailton;flordocerradocapital@gmail.com
5;;Ecolimpo;ADE Cpnj. O I Lote 09 B. Bom Sucesso – São Sebastião/DF;19.289.264/0001- 35;;4;;;08;;;12;;;São Sebastião;Santana;cooperativaecolimpodf@gmail.com
6;;Nova Superação;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;07.392.130/0001- 66;;4;;;32;;;36;;;SIA;Leda;cooperativareciclagemsuperacao@gmail.com
7;;Planalto;CIR – AE – Pátio Ferroviário;10.553.313/0001- 20;;4;;;5;;;9;;;Setor de Mansões Sobradinho II e Fercal;Ricardo;planaltocoop2022@gmail.com
8;;R3;Q. 518 área sem endereço;22.889.465/0001- 88;;4;;;17;;;21;;;Santa Maria;Vilany;r3cooperativa@gmail.com
9;;Reciclamais;CIR – AE – Pátio Ferroviário;39.326.773/0001- 06;;4;;;11;;;15;;;Planaltina;Alessandra/Raildo;reciclamais21@gmail.com
10;;Reciclo;Centro Integrado de Resíduos – Pátio Ferroviário – Brasília/DF;08.992.948/0001- 82;;4;;;30;;;34;;;Park Way;Paulo Ricardo;coopreciclo1@gmail.com
11;;Vencendo Obstáculos;CIR – AE – Pátio Ferroviário;27.993.314/0001- 99;;4;;;09;;;13;;;Cruzeiro e grandes geradores;Lúcia;obstaculosvencendo@gmail.com
;Subtotal;;;;;;44;;;181;;;225;;;;
TOTAL;;;;;;450;;;;;;;;;;;
