VALOR;FONTE;;;
;100;114;220;Total
JAN;R$ 36.602.818,73;R$ 421.738,66;R$ 587.017,95;R$ 37.611.575,34
FEV;R$ 33.911.118,13;R$ 2.153.656,60;R$ 12.982,05;R$ 36.077.756,78
MAR;R$ 30.963.870,11;R$ 6.374.553,58;R$ 135.395,83;R$ 37.473.819,52
ABR;R$ 27.646.749,53;R$ 4.911.031,22;R$ 318.987,97;R$ 32.876.768,72
MAI;R$ 11.182.603,28;R$ 14.502.064,63;R$ -;R$ 25.684.667,91
JUN;R$ 4.924.173,43;R$ 22.214.524,06;R$ -;R$ 27.138.697,49
JUL;R$ 32.512.402,40;R$ 5.385.659,44;R$ -;R$ 37.898.061,84
AGO;R$ 35.218.835,44;R$ 366.858,75;R$ -;R$ 35.585.694,19
SET;R$ 6.999.196,63;R$ 9.777.831,94;R$ 23.078,12;R$ 16.800.106,69
OUT;R$ 2.431.292,64;R$ 33.757.133,81;R$ 6.540,00;R$ 36.194.966,45
NOV;R$ 2.758.386,26;R$ 32.796.726,42;R$ 186.698,42;R$ 35.741.811,10
DEZ;R$ 200.265,98;R$ 6.626.063,36;R$ 326.716,00;R$ 7.153.045,34
%;58,598%;40,988%;0,414%;100%
