;Sede;Núcleo;RA;Endereço;Propriedade;Situação;Área total;Área Construída
;;;;;;;m²;m²
1;Administração superior;SEDE SLU;Brasília;SCS – Quadra 08 – Bloco B50 – 6º Andar - Ed. Venâncio 2000;Particular;Alugado;-;2.149
2;GESUL;NUCLA;Águas Claras;Parque do Areal - Areal;Ibram;Empréstimo;;
3;;NUBRA;Brazlândia;Área Especial nº 02 Norte;Próprio;Regularizado;25.000;533
4;;NUCEI;Ceilândia;QNN 29 módulo G a K Área Especial;Próprio;Regularizado;25.000;295
5;;NUEST;Cidade Estrutural;AE. Quadra 15, Conj. C1;Terracap;Processo Regularização 00111- 00016598/2017-01;7.200;766
6;;NUTAG;Taguatinga;QNG 47 Área Especial 09 Taguatinga;Próprio;Regularizado;7.200;306
7;;NUPLA;Planaltina;A/E Norte Lotes 11/12;Próprio;Regularizado;10.789;263
8;;NUSOB;Sobradinho;A/E Indústria 3 Lotes 04/06;Próprio;Regularizado;30.000;721
9;GEOES;NUSEB;São Sebastião;Quadra 305, Conj. 14 Lote 02, Bairro Residencial Oeste;Terracap;Processo Regularização 094.000943/2011;-;-
10;;NUGUA;Guará;Área Especial do CAVE- Adm. Regional do Guará;Administração Regional do Guará;Empréstimo;-;-
11;;NUBAN;Núcleo Bandeirante;Praça Padre Roque, 3ª Avenida, Projeção 2;Administração Regional do Núcleo Bandeirante;Empréstimo;-;-
